"RANDALSTOWN",,,,,,,,,,,,
Grid ref,IJ083907,Long,-6.318501,Lat,54.752734,,,,,,,
Station no,6234,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.34,4.06,1.26,3.32,4.54,3.22,4.56,4.41,2.54,4.39,,
February,2.37,1.20,1.14,4.00,2.85,1.64,1.90,4.09,1.29,2.93,,
March,1.85,1.79,0.33,3.09,0.94,1.63,3.31,1.48,2.52,2.19,,
April,1.31,1.55,1.53,0.62,2.84,0.86,1.66,1.84,2.96,2.35,,
May,1.35,1.49,1.87,3.51,3.28,1.41,2.28,2.14,1.31,2.44,,
June,3.70,2.39,2.64,3.36,4.04,3.66,1.91,5.00,1.57,2.57,,
July,3.77,1.90,5.95,4.21,1.13,4.68,6.06,4.33,3.79,6.51,,
August,5.26,7.15,3.68,2.04,1.33,7.45,4.37,4.01,0.91,4.73,,
September,1.90,2.15,3.00,4.52,5.47,3.41,5.07,5.13,1.69,2.75,,
October,1.18,3.83,2.44,6.12,2.93,2.78,3.26,2.72,4.37,3.45,,
November,6.29,3.41,2.78,5.64,2.34,1.95,1.37,2.17,3.43,3.46,,
December,4.44,4.78,3.85,4.93,4.67,4.05,5.08,4.27,6.23,2.79,,
Total,36.76,35.70,30.47,45.36,36.36,36.74,40.83,41.59,32.61,40.56,,
Calc annual,36.76,35.70,30.47,45.36,36.36,36.74,40.83,41.59,32.61,40.56,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
