"RANDALSTOWN, HOLLYBROOK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ083907,Long,-6.318501,Lat,54.752734,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,6234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,1.69,4.35,3.67,3.47,2,3.22,1.55,4.03,4.73,4.81,3.38,4.06,1.08,6.19,4.38,4.13,3.45,,,,,
February,,,,,,,,,,3.24,0.86,3.57,0.15,3.16,0.33,4.72,2.71,7.35,2.08,3.25,2.22,2.91,2.02,1.92,0.88,3.22,,,,,
March,,,,,,,,,,0.42,2.44,1.81,1.99,2.13,1.91,1.7,2.48,2.76,2.19,3.5,5.12,2.61,3.73,0.77,0.61,1.68,,,,,
April,,,,,,,,,,1.6,2.44,2.33,3.78,1.65,2.77,2.76,1.13,2.32,0.2,2.18,3.15,1.5,2.19,2.42,2.86,1.61,,,,,
May,,,,,,,,,,2.98,1.6,5.31,1.99,2.56,3.43,1.27,1.68,1.57,3.97,1.09,1.5,2.92,4.26,3.24,2.02,,,,,,
June,,,,,,,,,,3.1,2.6,4.77,1.33,2.93,2.35,4.11,3.31,2.92,4.77,2.78,1.4,0.3,0.65,3.02,2.35,,,,,,
July,,,,,,,,,,2.37,3.93,3.86,4.07,2.15,1.72,1.47,8.85,5.1,2.97,5.48,3.05,3,4.29,2.23,3.5,,,,,,
August,,,,,,,,,,6.27,6.89,2.3,2.14,2.31,4.96,1.59,2.43,3.87,3.3,3.66,0.79,4.43,5.09,4.96,2.84,,,,,,
September,,,,,,,,,,1.27,2.98,2.14,3.34,0.59,6.39,4.27,4.67,3.4,3.07,4.9,2.88,1.11,4.72,2.19,5.87,,,,,,
October,,,,,,,,,,5.94,6.21,2.91,4.87,2.92,5.05,5.67,2.81,2.55,5.16,2.29,4.79,5.53,3.64,3.42,4.64,,,,,,
November,,,,,,,,,,3.65,3.69,5.89,2.51,2.05,0.91,3.49,3.29,1.22,4.83,4.72,4.83,3.52,0.79,2.9,3.82,,,,,,
December,,,,,,,,,,5.82,3.53,2.98,5.52,2.16,5.3,3.18,4.24,2.5,4.58,3.78,4.42,1.45,4.01,2,4.22,,,,,,
Total,,,,,,,,,,38.35,41.52,41.54,35.16,26.61,38.34,35.78,41.63,40.29,41.93,41.01,38.21,30.36,41.58,33.45,37.74,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved in 1945 to Randalstown and station changed to 6233/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No indication of distance/direction of move so locationleft as for Randalstown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
