"BISHOP'S LYDEARD (WATTS HOUSE)",,,,,,,,,,,,
Grid ref,ST163305,Long,-3.195923,Lat,51.067707,,,,,,,
Station no,2077,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.54,3.36,0.58,1.51,4.21,3.18,2.20,3.09,3.43,3.59,,
February,4.07,0.87,1.42,2.91,2.56,0.20,4.29,3.72,0.22,3.11,,
March,4.07,2.45,0.79,3.22,1.62,0.63,2.32,0.91,2.37,2.70,,
April,3.29,3.06,3.55,0.11,0.80,1.77,0.03,0.77,3.47,2.15,,
May,2.83,3.81,1.51,1.69,4.02,0.40,1.18,2.54,0.36,1.38,,
June,0.83,1.58,1.66,2.00,3.45,1.36,2.02,2.32,1.57,1.07,,
July,1.35,0.93,1.85,2.40,1.46,2.25,2.49,2.44,1.72,3.36,,
August,3.77,4.00,2.24,2.32,1.03,1.86,2.57,2.56,1.78,3.65,,
September,2.85,3.75,3.80,2.94,1.71,5.08,3.07,3.66,0.05,4.01,,
October,1.07,4.05,2.48,2.38,1.54,2.04,2.39,1.44,3.05,9.07,,
November,7.01,4.92,2.30,5.67,3.11,0.63,1.95,2.48,5.03,3.40,,
December,2.34,2.72,1.02,2.59,5.14,4.07,2.52,3.48,6.15,3.84,,
Total,37.02,35.50,23.20,29.74,30.65,23.47,27.03,29.41,29.20,41.33,,
Calc annual,37.02,35.50,23.20,29.74,30.65,23.47,27.03,29.41,29.20,41.33,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,,
