KIRKCONNEL (FAULDHEAD),,,,,,,,,,
Grid ref,NS735123,Long,-3.9985,Lat,55.388302,Elevation,530,ft,,
Station no,5031/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,2,4.85,5.11,3.5,6.12,6.99,2.78,3.54
February,,,1.38,2.87,1.68,1.68,3.05,4.22,1.61,5.01
March,,,1.09,2.92,1.49,3.56,3.48,1.49,3.12,1.57
April,,,3.32,1.02,1.55,1.61,1.53,1.99,3.8,4.39
May,,,2.68,5.87,3.88,1.82,3.05,3.1,1.51,2.02
June,,,1.24,2.88,1.75,3.6,1.28,3.1,3.69,2.53
July,,,4.89,4.43,2.63,5.44,3.48,5.16,5.84,3.25
August,,,2.63,4.47,2.18,9.09,6.85,4.5,1.02,3.92
September,,,5.32,7.71,4.25,5.28,4.62,4.4,1.6,3.13
October,,,4.4,8.96,3.33,4.59,4.8,4.35,8.31,3.54
November,,,6.64,9.71,2.95,2.71,2.31,1.64,7.85,8.7
December,,,5.04,10.32,7.57,6.93,5.14,5,6.93,5.57
Total,,,40.63,66.01,38.37,49.81,45.71,45.94,48.06,47.17
,,,,,,,,,,
13206,KIRKCONNEL ,NS7358212297,01/01/1952,31/12/1969,,,,,,
