SOUTHERY,,,,,,,,,,,,,,,,,,,,
Grid ref,TL618946,Long,0.38355412,Lat,52.52525,Elevation,13,ft,,,,,,,,,,,,
Station no,RR6656,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.41,0.76,1.92,1.57,2.52,2.47,1.56,2.85,,,,
February,,,,,,,,1.14,1.31,0.29,2.27,1.29,1.01,0.74,1.49,2.02,,,,
March,,,,,,,,1.07,1.78,2.35,0.87,2.25,2.49,2.22,2.53,1.3,,,,
April,,,,,,,,2.26,2.98,0.95,1.87,0.91,0.28,1.55,0.59,0.45,,,,
May,,,,,,,,2.53,1.35,1.52,4.45,1.25,2.53,1.78,0.95,1.29,,,,
June,,,,,,,,1.86,0.97,4.26,1.17,2.52,2.18,1.46,1.4,0.77,,,,
July,,,,,,,,2.03,2.86,2.52,3.35,0.21,3.27,0.96,2.32,4.23,,,,
August,,,,,,,,,0.5,1.96,1.78,1.09,,1.44,1.46,2.2,,,,
September,,,,,,,,0.35,1.35,1.17,1.1,1.88,1.79,1.67,0.67,0.66,,,,
October,,,,,,,,2.51,1.13,2.45,1.29,1.27,2.03,2.82,1.53,1.27,,,,
November,,,,,,,,2.59,1.01,0.24,2.47,2.89,2.91,1.93,1.52,3.07,,,,
December,,,,,,,,3.4,1.57,2.9,3.4,3,2.01,0.63,3.71,3.05,,,,
Total,,,,,,,,,18.22,21.37,25.94,20.13,,19.67,19.73,23.16,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1912 Aug estimated,,,,,,,,,,,,,,,,,,,,
