"LIMAVADY, CULMORE HOUSE",,,,,,,,,,,,,,,,,,,,
Grid ref,IC6627426749,Long,-6.9628537,Lat,55.083827,Elevation,15,ft,,,,,,,,,,,,
Station no,RR6111,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,2.35,,3.92,1.37,2.78,2.91,1.94,3.16,3.01,2.77,,
February,,,,,,,,,2.63,,3.93,3.19,1.76,1.73,5.72,3.81,4.57,1.98,,
March,,,,,,,,,3.73,,1.89,1.51,3.86,3.18,4.73,1.1,2.53,2.59,,
April,,,,,,,,,2.37,,2.17,1.99,2.12,3.27,1.71,2.67,3.59,2.79,,
May,,,,,,,,,1.72,,1.99,1.23,1.02,3.67,2.04,0.65,6.86,3.28,,
June,,,,,,,,,2.43,,4.15,0.98,6.02,2.91,1.4,1.99,1.42,2.44,,
July,,,,,,,,,2.16,,3.29,3.27,2.69,1.79,1.84,2.65,1.73,1.99,,
August,,,,,,,,,2.96,,5.07,2.53,5.13,1.57,3.04,2.72,2.73,5.28,,
September,,,,,,,,,4.12,,0.84,1.48,2.28,3.3,2.12,0.99,1.33,1.28,,
October,,,,,,,,,1.2,,2.04,1.73,3.13,1.69,1.54,1.95,5.82,6.46,,
November,,,,,,,,,2.89,,4.72,3.54,3.97,3.42,4.29,2.51,5.43,6.76,,
December,,,,,,,,,2.76,,3.23,3.94,4.44,3.97,5.21,5.07,3.56,4.35,,
Total,,,,,,,,,31.32,,37.24,26.76,39.2,33.41,35.58,29.27,42.58,41.97,,
