SHOBDON (TY'N-Y-COED),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO412627,Long,-2.862901,Lat,52.259309,Elevation,450,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2252/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.59,5.02,3.54,3.75,3.1,5.56,1.99,2.21,3.11,2.54,5.81,1.36,0.73,2.74,2.62,0.73,1.53,3.04,2.86,,,,
February,,,,,,,,0.56,1.64,3.15,2.5,0.76,1.36,1.04,2.31,2.23,1.49,2.04,1.23,5.5,2.77,0.64,1.82,2.58,1.43,0.52,,,,
March,,,,,,,,0.16,1.67,1.59,2.83,2.31,1.07,0.5,1.04,0.92,6.56,1.18,1.54,1.7,4.16,1.94,1.56,2.52,3.56,1.13,,,,
April,,,,,,,,0.14,1.99,2.59,1.24,1.67,1.17,1.64,1.1,2.32,2.54,1.95,2.26,2.52,2.13,2.04,3.01,0.5,1.2,1.48,,,,
May,,,,,,,,2.23,1.35,1.98,2.46,3.9,2.95,0.98,3.93,3.31,2.77,3.12,2.43,1.39,3.43,2.84,1.94,2.21,4.77,0.89,,,,
June,,,,,,,,2.17,1.77,1.32,2.6,0.24,1.53,1.7,3.89,2.62,2.04,2.9,1.05,1.72,0.71,1.93,1.56,4.01,5.87,3.54,,,,
July,,,,,,,,2.92,5.35,3.39,1.92,1.68,1.85,2.59,3.13,2.33,2.51,1.29,0.88,5.32,2.14,0.97,2.32,1.92,0.61,3.58,,,,
August,,,,,,,,3.67,2.07,0,3.83,3.14,2.22,3.23,4.38,6.95,0.82,3.91,1.69,4.37,4.05,4.22,3.58,4.7,0.85,5.52,,,,
September,,,,,,,,1.82,1.16,0.85,1.24,1.73,2.83,2.48,2.15,4.53,2.04,2.73,2.71,3.72,2.99,2.9,3,3.21,1.44,3.36,,,,
October,,,,,,,,3.63,2.87,3.91,2.6,1.76,3.12,4.1,4.12,1.08,0.58,2.66,6.26,1.4,0.77,4.84,2.29,4.16,1.68,1.7,,,,
November,,,,,,,,4.34,5.32,7.23,3.04,0.98,2.23,4.22,0.49,6.01,2.11,2.13,3.9,4.94,7.72,2.95,2.26,8.26,3.27,1.24,,,,
December,,,,,,,,3.18,1.44,1.76,1.67,3.54,1.57,2.15,4.61,2.74,2.62,6.32,2.17,2.15,2.34,2.69,1.48,2.28,4.27,2.64,,,,
Total,,,,,,,,28.41,31.65,31.31,29.68,24.81,27.46,26.62,33.36,38.15,28.62,36.04,27.48,35.46,35.95,30.58,25.55,37.88,31.99,28.46,,,,
