STOKE-CLIMSLAND-SCHOOL,,,,,,,,
Grid ref,SX360744,Long,-4.31559,Lat,50.54686,Elevation,450,ft
Station no,1945,,,,,,,
,,,,,,,,
,1933,1934,1935,1936,1937,1938,1939,1940
January,3.84,5.84,1.61,7.82,9.76,7.76,8.09,
February,2.59,0.25,5.88,5.39,8.23,1.9,3.24,
March,3.3,4.36,1.53,5.14,7.66,0.89,2.47,
April,2.92,3.97,8.31,2.61,3.6,0.22,4.01,
May,2.06,2.39,3.1,0.84,4.33,5.39,1.68,
June,3.46,2.61,2.37,1.08,1.54,1.96,4.47,
July,2.93,0.86,0.4,9.47,1.89,4.8,7.47,
August,1.99,5.22,2.6,0.31,0.77,9.56,2.72,
September,2.56,5.07,6.23,2.81,3.83,1.55,0.18,
October,6.08,4.38,6.99,1.84,4.51,6.69,6.46,
November,1.48,1.71,7.48,5.34,3.67,8.94,10.77,
December,2.28,17.92,4.65,7.68,9.98,6.13,1.88,
Total,35.49,54.58,51.15,50.33,59.77,55.79,53.44,
,,,,,,,,
,,,,,,,,
1933 Gauge lowered to 1ft above ground,,,,,,,,
1940 Station terminated,,,,,,,,
