SCARBOROUGH - CRESCENT GARDENS,,,,,,,,,
Grid ref,TA042883,Long,-0.401,Lat,54.280,Elevation,102,ft,
Station no,3466,,,,,,,,
,,,,,,,,,
,1865,1866,1867,1868,1869,1870,1871,1872,1873
January,,1.65,4.41,1.75,2.34,1.60,1.07,2.99,1.29
February,,1.76,0.81,1.30,1.44,2.20,1.71,1.98,1.91
March,,1.89,1.52,1.16,2.33,1.40,0.62,2.82,1.60
April,,2.21,1.76,2.01,1.84,0.85,3.24,2.22,1.00
May,,0.91,2.52,1.10,3.21,1.10,1.44,2.33,1.81
June,,2.55,1.84,0.40,1.09,2.84,2.49,2.40,1.39
July,,3.50,4.42,0.78,0.91,0.56,3.75,3.78,2.24
August,,5.86,2.40,2.50,1.57,2.31,0.79,2.48,1.76
September,,3.42,2.60,2.72,3.76,0.81,5.77,6.02,2.57
October,,2.80,3.29,3.10,3.81,5.56,1.99,3.98,2.16
November,2.00,2.75,0.89,2.14,2.84,3.17,3.04,5.56,1.41
December,1.22,2.14,2.87,4.94,4.59,6.00,2.02,2.74,0.58
Total,,31.44,29.33,23.90,29.73,28.40,27.93,39.30,19.72
,,,,,,,,,
TYRain_1860-1869_05_pt1/182,,,,,,,,,
TYRain_1870-1879_08_pt3/018,,,,,,,,,
,,,,,,,,,
# The 1870s sheet is labelled 'Crystal Gardens' - presumably this is meant to be Crescent Gardens.,,,,,,,,,
