"SCARBOROUGH",,,,,,,,,,,,
Grid ref,TA044884,Long,-0.397992,Lat,54.280587,,,,,,,
Station no,3466,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.97,2.72,1.10,1.80,1.48,3.57,1.52,2.96,3.55,5.10,,
February,2.27,1.00,1.82,1.84,1.87,3.07,2.08,4.10,0.41,1.72,,
March,3.34,1.70,0.24,2.07,2.15,0.88,1.13,2.90,1.47,1.28,,
April,1.46,1.01,2.43,0.20,1.00,0.76,0.73,1.19,2.90,0.79,,
May,4.31,1.28,1.81,1.82,3.27,0.87,0.93,2.43,0.47,0.80,,
June,1.00,1.28,3.13,1.24,1.30,2.97,1.29,3.69,2.25,0.31,,
July,2.52,2.24,1.82,1.55,1.17,3.40,3.37,2.55,2.74,3.00,,
August,6.23,1.81,3.26,4.38,0.72,4.80,2.56,2.40,0.31,2.85,,
September,0.97,5.33,0.84,1.42,1.26,1.24,3.01,1.50,0.38,2.86,,
October,0.86,2.14,1.45,3.78,2.72,1.54,3.09,1.37,1.78,7.97,,
November,4.10,4.09,1.94,4.41,1.18,1.69,2.54,0.62,3.55,3.83,,
December,2.01,2.58,1.06,1.64,3.96,1.86,2.04,2.78,3.21,3.54,,
Total,31.04,27.18,20.90,26.15,22.08,26.65,24.29,28.49,23.02,34.05,,
Calc annual,31.04,27.18,20.90,26.15,22.08,26.65,24.29,28.49,23.02,34.05,,
Difference,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,,
