SCARBOROUGH - EARLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA037882,Long,-0.409,Lat,54.279,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864
January,0.94,0.49,3.16,1.52,0.91,2.43,1.53,0.71,2.23,2.00,2.92,,1.47,0.40,2.23,,,2.42,1.58,1.31,1.66,4.20,0.80,1.22,1.60,1.47,0.48,0.89,1.36,0.66,1.35,2.63,0.50
February,0.17,3.44,0.68,1.38,1.59,1.85,1.77,1.10,1.75,1.63,0.89,,1.74,1.35,0.91,,,0.56,2.81,0.66,2.53,,0.40,2.47,0.81,0.40,0.24,0.75,1.11,1.54,1.00,0.20,1.16
March,1.11,1.98,1.46,2.27,2.97,0.97,1.55,2.72,0.80,0.96,1.89,,2.18,2.53,1.99,,,1.97,1.08,2.91,0.24,,0.20,1.51,0.20,1.31,0.45,0.87,1.96,1.77,3.10,0.60,0.94
April,1.45,1.70,0.97,1.35,1.53,2.55,1.67,0.48,0.67,0.46,0.14,,0.50,1.59,7.30,,,3.51,3.67,1.98,1.12,0.93,0.36,0.34,2.65,3.16,0.86,1.04,0.35,1.08,1.24,0.60,0.82
May,1.94,0.50,0.71,2.75,0.21,1.28,1.90,0.59,3.07,2.25,2.22,,0.27,3.38,1.35,,,3.49,2.13,1.53,1.42,0.63,1.75,1.27,3.12,0.68,0.79,0.20,2.80,0.77,2.06,0.58,1.99
June,1.33,3.34,0.91,2.81,1.83,2.09,3.15,4.70,2.03,2.49,0.60,,5.34,2.64,0.90,,,1.29,1.80,2.25,3.65,1.82,1.87,3.37,2.13,1.14,0.63,1.73,1.82,1.66,1.34,2.03,1.69
July,0.79,1.05,1.28,0.44,2.83,2.02,1.73,3.52,3.26,2.65,3.08,,2.65,2.91,4.96,,,2.81,2.68,2.67,0.43,1.98,2.15,2.99,3.12,2.58,3.01,1.00,1.95,2.89,3.05,2.16,0.48
August,1.18,1.87,1.28,0.98,1.91,1.55,2.60,1.88,2.92,1.90,1.04,,1.33,6.46,1.42,,,0.81,1.07,2.18,2.97,0.40,0.70,1.75,2.58,12.67,3.30,1.14,1.11,0.44,1.35,3.72,1.04
September,0.26,1.91,1.65,2.60,3.25,2.37,2.10,2.39,2.79,3.75,1.40,,1.86,2.62,0.36,,,2.82,0.54,1.48,4.60,1.50,0.65,0.24,3.26,2.18,2.05,2.19,3.69,2.08,2.46,1.49,1.18
October,0.78,2.61,1.06,3.51,2.93,1.88,2.54,2.54,1.52,3.16,2.50,,1.51,3.31,5.41,,,2.74,3.31,1.72,4.06,1.69,1.70,3.04,1.17,0.08,1.69,1.34,1.94,1.38,1.34,3.18,2.25
November,2.53,1.91,1.78,2.47,4.71,1.94,2.92,3.32,4.09,2.18,,,1.64,1.74,1.57,,,3.43,2.09,2.89,4.34,1.39,2.90,2.29,1.64,1.31,1.32,0.42,2.97,2.32,0.49,2.29,2.82
December,2.81,3.39,0.62,0.71,1.53,4.25,0.39,2.41,0.98,2.58,,,1.01,3.00,2.76,,2.78,6.34,1.41,1.47,2.65,1.17,1.17,3.18,1.22,,1.20,1.44,2.94,1.38,1.05,1.42,2.07
Total,15.29,24.19,15.56,22.79,26.20,25.18,23.85,26.36,26.11,26.01,,,21.50,31.93,31.16,,,32.19,24.17,23.05,29.67,,14.65,23.67,23.50,,16.02,13.01,24.00,17.97,19.83,20.90,16.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1820-1829_C_pt2/052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1840-1849_E_pt1/104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1850-1859_F_pt1/217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1850-1859_F_pt1/218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1850-1859_F_pt1/219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_05_pt1/181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The figures in three 1850s sheets have a lot of duplication for 1853 onwards.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# It looks like a replacement gauge (page 219) may have come in to operation in 1853 ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Figures for 1850-1852 are taken from page 217, for 1853 onwards from page 219. The figures on Page 218 are not used.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The gauge operated at several early sites in Scarborough, including Belle Vue(TA037882), The Museum (TA043883) and King Street (TA044886).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
