HINGHAM HALL,,,,,,,,,,,,
Grid ref,TG017025,Long,0.975716,Lat,52.582880,,,,,,,
Station no,RR6646,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.84,,
February,,,,,,,,,,0.67,,
March,,,,,,,,,,2.72,,
April,,,,,,,,,,1.17,,
May,,,,,,,,,,1.35,,
June,,,,,,,,,,3.40,,
July,,,,,,,,,,3.49,,
August,,,,,,,,,,2.24,,
September,,,,,,,,,,1.78,,
October,,,,,,,,,,3.82,,
November,,,,,,,,,,1.08,,
December,,,,,,,,,,4.39,,
Total,,,,,,,,,,26.95,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.95,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
