HINGHAM-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,TG017023,Long,0.97559382,Lat,52.581084,Elevation,190,ft,,,,,,,,,,,,
Station no,RR6646,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,0.84,2.09,1.7,2.72,2.35,1.52,2.65,1.65,2.4,2.99,
February,,,,,,,,,,0.67,2.19,1.85,1.47,0.68,1.33,2.47,4.64,0.87,1.08,
March,,,,,,,,,,2.72,0.89,3.07,2.38,1.92,3.65,1.64,3.96,2.54,0.89,
April,,,,,,,,,,1.17,1.9,1.23,0.37,2.06,0.7,0.61,1.95,1.66,2.68,
May,,,,,,,,,,1.35,3.65,1.49,1.16,1.53,1,2.02,1.98,0.61,1.26,
June,,,,,,,,,,3.4,2.45,3.37,2.49,1.1,1.72,0.47,2.72,1.44,1.98,
July,,,,,,,,,,3.49,4.73,0.41,3.72,1.18,1.55,4.38,2.51,2.04,4.42,
August,,,,,,,,,,2.24,3.18,0.62,7.52,0.86,0.86,1.18,3.67,4.32,1.52,
September,,,,,,,,,,1.78,1.24,2.5,2.39,1.2,1.25,1.41,1.38,2.39,5.5,
October,,,,,,,,,,3.82,1.51,2.56,1.89,5.06,2.39,1.55,3.3,3.85,2.48,
November,,,,,,,,,,1.08,3.79,3.57,2.82,2.44,2.62,2.4,3.1,2.06,2.23,
December,,,,,,,,,,4.39,3.52,3.22,2.6,0.73,5.67,4.04,2.84,0.85,4.04,
Total,,,,,,,,,,26.95,31.14,25.59,31.53,21.11,24.26,24.82,33.7,25.03,31.07,
