CRONTON PEX HILL OLD RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ500888,Long,-2.75334,Lat,53.3937,Elevation,226,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2814/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.41,4.91,3.4,3.09,4.17,3.62,4.85,2.37,3.78,2.25,7.27,2.83,1.27,2.62,2.94,1.32,3.33,2.08,3.75,1.47,2.64,2.75,4.8
February,,,,,,,,0.86,3.13,2.87,3.55,1.88,1.86,1.65,2.82,5.82,1.04,2.07,1.32,4.65,1.78,1.39,1.39,3.4,1.86,0.41,1.75,4.64,0.38,1.58
March,,,,,,,,1.14,1.94,2.52,2.85,2.8,1.01,0.86,1.11,0.96,5.29,1,2.79,1.54,4.78,2.26,1.13,2.33,1.7,1.19,2.29,1.35,1.22,1.44
April,,,,,,,,0.3,2.12,2.3,1.62,1.42,1.54,1.92,2.05,1.35,2.69,1.41,2.82,3.13,1.64,2.12,2.53,0.75,2.02,3.27,0.64,0.95,3,1.48
May,,,,,,,,3.57,1.42,2.33,2.1,3.85,2.58,2.12,3.56,1.5,2.51,1.37,3.15,0.65,3.06,2.29,2.3,2.61,2.43,1.04,1.94,3.27,2.49,2.37
June,,,,,,,,3.37,3.22,1.1,0.62,0.46,2.58,2.05,3.43,3.7,2.03,4.04,0.88,2.64,1.16,1.8,1.77,3.09,3.56,2.29,1.35,5,2.89,2.56
July,,,,,,,,3.2,6.45,2.97,3.6,3.19,2.96,2.93,1.96,3.2,2.69,2.62,3.75,2.63,2.16,1.55,4.16,4.69,0.63,5.56,3.86,5.03,2.9,4.11
August,,,,,,,,3.71,2.1,1.19,6.29,4.54,4.08,3.47,2.8,4.23,0.27,4.42,1.81,4.49,4.31,1.98,3.73,4.08,1.69,9.33,5.12,2.49,0.92,4.09
September,,,,,,,,2.11,0.93,3.8,1.26,2.6,3.73,5,2.12,3.92,2.79,1.84,1.21,4.51,2.48,3.88,3.24,2.98,2.5,2.72,6.31,3.72,0.15,3.51
October,,,,,,,,5.49,2.13,4.27,3.59,3.77,4.01,4.38,4.27,1.57,0.93,2.39,3.62,2.29,1.1,3.95,1.44,6.71,2.15,2.42,3.58,2.96,3.1,3.75
November,,,,,,,,3.83,4.86,6.36,2.72,0.66,2.53,6.41,0.43,5.14,3.82,1.98,5.26,4.53,8.59,3.08,2.87,5.87,1.37,1.47,1.58,1.76,4.37,5.39
December,,,,,,,1.91,3.92,2.54,3.33,1.27,3.87,1.68,2.79,2.78,3.1,3.68,3.44,5.16,3.7,5.55,3.38,1.19,4.48,3.11,2.55,3.23,4.06,5.31,3.49
Total,,,,,,,,34.91,35.75,36.44,32.56,33.21,32.18,38.43,29.7,38.27,29.99,33.85,34.6,36.03,39.23,30.62,27.07,44.32,25.1,36,33.12,37.87,29.48,38.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR and elevation verified to CEDA Archive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
