"FEWSTON, SWINSTY WEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE193527,Long,-1.7072743,Lat,53.970016,Elevation,425,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,5.57,2.96,1.5,1.35,4.1,2.67,3.99,1.44,4.66,7.43,1.64,3,2.69,5.29,5.46,2.88,1.92,2.67,3.31,1.6,5.83,1.77,2.31,1.67,4.59,1.37,5.09,4.27,2.07,5.46,2.51,4.05,3.07,4.32,4.7,5.27,4.79,,,,,,,,
February,,,,,,,1.01,0.8,2.54,2.37,1.19,0.33,4.59,5.72,6.67,1.03,1.09,3.53,3.57,2,5.87,1.78,1.56,3.83,4.02,2.84,2.56,2.62,2.89,1.46,3.76,3.48,2.15,1.41,2.11,4.51,5.19,0.66,3.98,2.38,2.72,0.29,3.87,,,,,,,,
March,,,,,,,3.74,1.9,7.19,2.95,3.49,2.89,2.08,1.01,2.98,2.74,4.28,4.66,1.73,1.88,1.32,2.41,1.79,4.5,2.21,3.31,2.63,3.22,4.57,4.05,0.67,2.42,4.32,4.53,3.48,1.12,5.05,3.02,1.35,5.01,2.96,1.83,,,,,,,,,
April,,,,,,,2.42,0.79,3.62,4.02,1.51,2.82,2.36,0.73,3.24,2.39,1.95,2.32,2.65,3.17,1.89,3.13,2.04,1.8,2.27,2.93,0.91,2.26,3.05,2.91,3.13,1.48,0.75,3.59,1.14,1.38,2.07,2.04,0.83,1.7,4.63,1.28,,,,,,,,,
May,,,,,,,4.74,2.12,0.97,2.5,3.41,2.11,3.49,2.22,1.54,0.52,0.56,1,2.78,3.57,1.84,1.89,3.22,4.01,3.25,0.95,2.89,4.05,3.31,1.9,2.11,1.19,2.53,3.05,1.44,2.04,2.93,2.35,4.04,1.4,4.11,2.23,,,,,,,,,
June,,,,,,,1.37,0.11,2.48,0.17,3.65,1.31,4.78,2.33,3.68,3.02,5.39,4.5,2.09,1.63,3.67,1.47,1.98,2.2,2.02,1.73,1.13,5.02,1.14,3.33,4.03,3.07,6.22,1.46,3.47,0.41,1.84,2.34,0.81,1.18,1.7,0.06,,,,,,,,,
July,,,,,,,2.52,1.05,5.63,2.12,2.35,4.33,1.67,2.8,4.13,5.66,2.42,0.76,1.65,1.77,3.01,1.93,2.29,4.95,2.96,1.18,2.17,2.81,4.6,4.3,2.69,0.55,5.28,0.79,3.47,4.13,2.2,1.54,5.76,2.62,6.18,1.46,,,,,,,,,
August,,,,,,,2.14,2.9,3.22,4.8,4.99,4.7,4.66,2.82,3.49,2.79,1.59,3.82,3.45,1.52,5.78,1.56,4.18,5.41,3.99,4.19,2.98,2.41,2.5,3.72,5,2.15,6.6,1.72,1.56,2.94,1.97,5.83,2.24,2.17,1.71,4.18,,,,,,,,,
September,,,,,,,2.09,3.86,0.68,1.61,2.32,2.29,1.91,1.97,0.76,1.95,5.19,3.26,1.03,4.35,0.93,1.16,1.43,4.75,1.4,2.63,0.62,0.8,3.63,2.02,0.22,3.42,1.78,1.45,1.75,0.48,2,1.5,7.57,1.39,1.16,1.33,,,,,,,,,
October,,,,,,,4.54,2.48,0.71,5.66,1.61,4.49,7.94,2.95,6.04,5.07,4.15,1.7,5.49,3.35,4.46,2.31,3.84,9.01,1.27,2.49,5.53,7.63,1.99,2.76,3.64,3.1,3.45,2.47,2.54,1.35,6.21,4.58,2.37,3.51,2.91,1.99,,,,,,,,,
November,,,,,,,2.51,3.29,8.35,1.25,4.95,3.82,2.26,3.11,1.69,4.69,1.79,2.36,4.3,1.26,5.13,5.32,2.4,2.37,4.37,5.45,4.37,2.58,2.3,1.47,4.11,4.04,2.38,3.4,5.21,2.71,4.02,3.24,1.66,2.55,2.15,3.06,,,,,,,,,
December,,,,,,,4.74,2.46,2.2,2.33,1.44,6.13,1.7,4.18,3.62,4.94,4.71,3.77,4.36,3.94,4.05,5,3.35,1.8,2.13,0.96,2.95,4.59,1.8,4.93,4.07,5.54,3.48,2.22,7.14,7.19,2.37,1.96,6.03,5.21,3.93,4.2,,,,,,,,,
Total,,,,,,,37.39,24.72,39.09,31.13,35.01,37.89,41.43,31.28,42.5,42.23,34.76,34.68,35.79,33.73,43.41,30.84,30,47.3,33.2,30.26,34.57,39.76,34.09,34.52,38.02,31.81,44.03,30.36,35.38,33.72,38.36,33.11,39.71,33.44,38.86,27.18,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rain gauge marked on 6"" 1910 OS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
