EAST BUDLEIGH OTTERTON VICARAGE,,,,,,,,,,,,
Grid ref,SY082851,Long,-3.300089,Lat,50.658316,,,,,,,
Station no,RR7429,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.33,5.57,0.98,0.71,1.42,,
February,,,,,,0.87,3.40,1.46,1.61,0.41,,
March,,,,,,4.18,1.20,0.59,2.98,5.19,,
April,,,,,,2.63,1.08,4.89,2.52,1.69,,
May,,,,,,0.61,2.73,2.48,2.08,1.17,,
June,,,,,,2.75,2.27,2.00,0.66,2.82,,
July,,,,,,0.43,0.99,1.84,1.47,2.33,,
August,,,,,,3.99,1.17,1.35,3.84,2.08,,
September,,,,,,2.03,1.12,0.61,2.65,1.39,,
October,,,,,,2.51,4.49,6.80,3.32,5.18,,
November,,,,,,4.58,2.74,2.73,1.06,0.43,,
December,,,,,,0.78,1.53,4.64,3.02,5.17,,
Total,,,,,,26.69,28.29,30.37,25.92,29.28,,
Calc annual,0.00,0.00,0.00,0.00,0.00,26.69,28.29,30.37,25.92,29.28,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
