EAST-BUDLEIGH-OTTERTON-VICARAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SY081851,Long,-3.30046,Lat,50.65852,Elevation,80,ft,,,,,,,,,,,,
Station no,RR7429,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,1.33,5.57,0.98,0.71,1.42,3.51,0.91,4.15,6.93,,2.8,,,,
February,,,,,,0.87,3.4,1.46,1.61,0.41,4.26,1.43,3.25,1.02,,5.55,,,,
March,,,,,,4.18,1.2,0.59,2.98,5.19,0.62,2.51,4.68,3.06,,0.84,,,,
April,,,,,,2.63,1.08,4.89,2.52,1.69,2.33,1.6,0.15,3.3,,0.74,,,,
May,,,,,,0.61,2.73,2.48,2.08,1.17,2.67,1.55,1.77,2.84,,2.03,,,,
June,,,,,,2.75,2.27,2,0.66,2.82,1.94,2.42,5.55,0.43,,2.03,,,,
July,,,,,,0.43,0.99,1.84,1.47,2.33,2.7,0.52,2.35,0.38,,3.76,,,,
August,,,,,,3.99,1.17,1.35,3.84,2.08,4.94,0.55,6.09,1.19,,3.17,,,,
September,,,,,,2.03,1.12,0.61,2.65,1.39,0.39,1.37,1.07,2.32,,0.9,,,,
October,,,,,,2.51,4.49,6.8,3.32,5.18,3.84,3.58,4.38,4.09,,7.06,,,,
November,,,,,,4.58,2.74,2.73,1.06,0.43,4.45,4.03,1.58,3.26,,2.52,,,,
December,,,,,,0.78,1.53,4.64,3.02,5.17,6.6,8.78,4.27,2.23,,7.12,,,,
Total,,,,,,26.69,28.29,30.37,25.92,29.28,38.25,29.25,39.29,31.05,,38.52,,,,
,,,,,,,,,,,,,,,,,,,,
1906 Jan 17 Gauge moved 25ft NNE,,,,,,,,,,,,,,,,,,,,
