LAKE VYRNWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ018189,Long,-3.456601,Lat,52.758751,Elevation,770,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,12.58,5.99,4.19,3.32,8.36,4.85,2.02,1.81,6.17,10.22,5.85,5.86,4.29,7.33,6.04,2.73,9.3,3.47,4.51,4.82,8.3,2.72,5.16,6.52,5.69,5.02,7.57,2.42,5.28,8.43,10.43,10.06,7.83,4.8,5.78,8.59,8.77,7.99,16.24,2.42,8.88,6.25,9.65,5.67,7.96,2.5,8.86,8.61,12.76,12.19,5.11,4.75,7.36,10,9.09,7.35,10.13,5.43,18.34,4.06,3.24,6.66,9.47,1.77,5.66,4.82,8.7,8.43,6.67,7.28,9.69,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,0.83,0.62,2.96,9.81,11.08,1.01,1.31,6.14,6.57,3.86,5.75,2.12,1.93,5.51,6.77,3.39,6.51,4.41,4.57,1.73,6.57,6.19,3.59,3.02,5.07,6.04,6.9,1.25,9.06,3.17,7.77,0.27,8.81,12.24,0.83,9.69,6.18,4.08,10.68,1.3,0.87,7.59,0.18,8.27,0.38,11.07,2.78,10.53,3.37,7.16,4.25,6.25,1.92,4.91,3.12,9.73,10.91,2.73,6.98,3.99,13.13,7.8,1.55,3.47,5.62,3.3,0.81,5.41,8.84,0.69,6.53,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,3.16,2.74,2.09,1.44,6.6,4.67,7.62,8.11,1.71,2.97,1.35,6.36,3.06,8.48,2.82,6.82,5.08,3.19,5.98,4.81,1.87,2.62,7.17,6.46,6.08,1.1,3.31,4.35,2.13,7.43,6.12,6.05,5.1,2.8,2.61,2.12,2.21,5.37,4.08,1.24,4.83,1.17,4.72,3.71,5.58,2.13,4.79,3.8,1.86,4.04,4.74,4.2,3.74,2.21,1.07,3.55,2.84,11.85,4.15,2.46,3.13,6.78,3.2,5.09,5.59,3.48,3.19,6.28,1.78,3.68,3.04,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,1.96,4.11,1.5,0.81,2.49,2.71,2.03,5.13,4.33,5.22,2.32,3.88,1.49,2.22,4.22,3.59,1.59,3.13,4.15,4.67,4.23,3.25,0.57,5.61,2.08,1.69,4.22,2.48,2.24,3.57,8.64,2.51,3.47,4.85,4.89,3.22,3.18,3.46,2.67,1.78,4.65,5.54,7.43,1.71,3.8,6.16,2.84,4.25,0.3,3.45,4.7,2.16,4.11,2.7,2.48,5.03,1.47,6.52,3.74,6.78,6.39,5.56,3.1,4.85,1.9,2.91,1.88,0.39,2.05,4.97,4.31,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,3.93,4.75,4.28,2.63,3.86,0.83,0.19,2.2,6.27,3.68,2.39,0.95,4.49,3.03,2.82,1.19,4.07,3.92,3.56,1.78,2.89,1.86,2.11,2.71,3.19,2.55,4.89,3.08,4.08,1.38,6.3,3.14,1.86,5.42,8.14,5.94,4.29,2.32,1.49,3.02,2.15,6.48,4.43,1.55,4.05,1.11,1.76,2.9,4.54,1.12,2.94,3.85,6.04,5.98,3.08,4.98,2.66,3.92,2.97,4.77,1.63,3.78,3.62,3.2,4.73,7.82,1.45,3.18,6.39,2.05,2.09,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,3.14,4.21,2.71,2.93,3.08,1.31,2.37,4.29,2.97,3.34,3.18,2.63,2.72,1.3,1.8,5.13,1.91,7.92,4.01,3.83,4.57,3.82,4.91,3.69,2.16,1.2,3.17,2.73,2.04,2.29,4.14,0.31,3.15,1.65,4.18,0,2.43,7.25,6.36,3.51,2.89,5.09,1.68,3.5,3.09,5.58,6.48,3.92,6.68,3.69,0.85,1.2,0.66,6.27,3.87,6.37,6.17,3.2,6.7,1.06,2.28,1.92,2.2,2.11,5.45,5.69,3.98,1.77,5.18,3.64,2.53,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,3.7,3.3,3.48,3.48,3.98,3.14,5.79,2.35,1.7,1.2,2.04,2.38,3.85,2.05,4.56,2.76,1.65,1.25,3.55,5.06,4.21,4.16,0.94,5.07,0.55,4.61,3.99,2.56,3.09,6.19,1.12,8.16,3.25,6.78,4.39,7.51,1.76,6.36,4.83,2.01,4.27,5.31,4.44,7.1,3.78,1.21,1.83,8.51,3.37,5.15,10.46,3.63,2.92,4.63,4.01,4.1,2.51,2.34,3.67,2.96,1.62,5.84,2.58,2.54,7.64,6.44,1.17,7.87,7.86,5.29,6.45,6.24,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,5.59,5.92,9.34,5.01,4.57,4.51,5.72,2.44,6.29,8.07,2.29,7.66,3.78,5.16,7.51,5.61,6.65,6.83,5.66,4.89,2.9,6.96,4.42,6.53,2.7,3.92,3.66,3.44,9.79,2.49,3.72,2.7,6.67,4.13,7.61,6.64,4.74,5.77,9.01,7.41,6.12,5.09,5.64,1.68,1.6,5.39,1.51,2.37,2.13,4.71,3.1,0.81,7.57,6.22,6.56,3.25,4.68,7.9,0.64,7.25,3.19,8.22,6.84,4.59,5.08,4.72,2.06,7.75,8.2,3.62,1.7,6.76,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,2.34,1.73,5.9,5.11,4.03,0.94,3.22,9.08,4.9,2.32,4.25,1.97,2.08,1.99,7.62,2.57,2.88,1.28,1.03,3.94,3.43,0.45,4.58,1.18,2.61,2.5,0.89,4.21,3.02,13.88,4.11,2.61,2.31,4.33,5.62,7.54,4.81,4.09,6.77,1.98,0.96,6.94,3.21,6.77,1.33,5.17,10.73,6.31,2.19,2.15,1.3,4.75,1.73,4.43,6.48,5.94,4.03,8.56,2.75,4.42,1.96,11.45,5.78,3.08,7.09,7.81,2.3,5.23,9.24,10.69,0.39,5.39,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,7.18,4.11,8.04,6.11,5.16,7.5,5.17,6.09,1.8,5.79,4.84,8.95,4.04,5.2,13.59,2.13,3.73,7.76,8.3,2.73,9,5.31,5.67,6.29,4.87,2.16,3.51,12.88,8.54,5.38,3.94,4.68,4.46,2.24,11.78,8.76,7.23,6.34,8.91,9.34,7.92,9.04,1.96,9.27,6.3,7.35,11.79,5.59,4.26,14.27,3.9,7.93,7.6,5.49,6.22,10.21,8.56,2,1.59,3.24,9.47,4.81,1.82,8.1,2.68,12.42,3.56,4.05,6.12,4.06,8.3,7.07,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,2.82,8.82,4.87,4.11,3.94,6.9,7.51,1.4,6.51,5.02,4.07,5.92,5.15,3.61,3.75,3.11,5.63,4.99,4.57,4.25,3.16,7.09,7.79,4.85,6.51,5.71,4.07,6.06,4.67,3.77,4.55,5.04,5.32,3.07,6.34,4.66,3.38,9.84,7.76,13.83,15.13,9.77,10.3,4.96,1.62,2.74,7.4,7.61,2.4,10.27,13.15,14.68,3.82,0.91,3.91,11.37,0.4,10.36,9.84,4.8,8.41,7,10.69,4.02,7.8,11.4,3.63,2.83,2.9,2.63,5.97,13.27,,,,,,,,,,,,,,,,,,,
