"CHURCH STRETTON (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,SO438909,Long,-2.829553,Lat,52.513076,,,,,,,
Station no,2275,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.54,3.47,0.79,2.71,2.78,4.14,2.14,3.08,3.74,6.64,,
February,3.92,0.68,2.14,3.06,2.32,0.63,2.71,4.70,0.30,4.21,,
March,5.20,2.06,1.26,2.26,3.58,1.52,2.29,1.53,2.60,2.15,,
April,2.41,1.84,3.27,0.74,1.60,1.39,0.61,0.47,4.08,1.66,,
May,3.32,2.82,2.64,3.76,5.30,0.40,1.77,2.23,1.48,1.66,,
June,0.79,2.38,1.97,3.76,4.04,1.92,1.75,4.42,2.05,2.39,,
July,2.36,1.06,2.95,2.98,0.87,2.84,4.51,4.06,1.79,4.14,,
August,3.80,2.79,2.97,5.11,1.09,5.17,8.00,4.96,0.76,5.18,,
September,2.54,2.53,2.77,2.34,1.58,3.77,5.94,6.43,0.02,4.40,,
October,1.25,4.92,2.41,3.86,2.06,2.01,1.91,3.71,3.58,7.32,,
November,7.53,3.67,2.29,6.84,3.88,1.50,2.90,2.37,4.05,6.10,,
December,3.34,3.22,1.50,2.74,3.49,3.14,2.52,2.76,6.52,3.92,,
Total,39.00,31.44,26.96,40.16,32.59,28.43,37.05,40.72,30.97,49.77,,
Calc annual,39.00,31.44,26.96,40.16,32.59,28.43,37.05,40.72,30.97,49.77,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
