CHURCH-STRETTON-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO438909,Long,-2.8295529,Lat,52.513076,Elevation,582,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,1.66,1.21,1.68,2.29,0.62,3.95,4.08,1.25,4.08,1.29,2.55,3.21,3.45,3.62,3.14,5.11,2.01,2.94,2.74,4.62,4.09,4.91,2.29,6.31,2.65,3.9,2.51,3.74,1.17,4.6,4.38,5.25,6.24,3.43,4.11,4.28,6.12,2.89,2.29,3.39,2.62,5.76,1.72,0.84,2.54,3.47,0.79,2.71,2.78,4.14,2.14,3.08,3.74,6.64
February,,,,,,,,1.55,1.72,1.4,3.93,1.93,1.63,1.68,2.93,5.31,5.14,1.3,2.32,2.33,2.14,0.32,3.94,7.45,0.75,4.49,2.4,3.66,2.79,0.81,1.19,2.94,0.3,4.11,0.33,3.56,3.04,6.35,0.98,1.84,2.96,3.28,0.87,1.88,1.95,2.42,3.37,1.83,1.71,1.22,5.5,3.92,0.68,2.14,3.06,2.32,0.63,2.71,4.7,0.3,4.21
March,,,,,,,,1.29,3.74,2.87,0.82,1.84,5.09,5.62,3.27,0.57,4.48,2.54,2.04,4.79,3.55,2.39,3.25,2.15,1.63,1.43,0.78,3.66,2.64,0.38,3.44,0.61,3.11,3.1,2.82,1.07,2.9,3.03,0.59,2.52,2.04,3.68,2.04,1.01,0.64,1.29,1.1,6.87,1.49,2,1.21,5.2,2.06,1.26,2.26,3.58,1.52,2.29,1.53,2.6,2.15
April,,,,,,,,3.43,3.77,2.63,2.3,1.49,0.18,5.47,1.07,1.73,1.65,1.8,2.35,2.18,5.13,1.51,3.58,3.07,3.8,2.68,2.88,2.42,1.9,1.29,3.78,4.81,4.88,0.9,3.5,4.53,3.1,2.11,0.21,2.99,3.86,1.4,1.68,1.22,1.34,1.54,1.62,2.86,1.93,2.52,2.63,2.41,1.84,3.27,0.74,1.6,1.39,0.61,0.47,4.08,1.66
May,,,,,,,,2.96,2.78,0.95,2.04,1.7,2.35,4.89,1.27,3.91,3.07,3.58,2.52,0.76,2.06,2.07,1.23,2.78,5.81,4.19,3.93,1.64,1.7,2.57,3.34,5.39,4.38,1.76,1.9,1.26,0.94,2.03,2.06,1.64,1.97,3.02,4.21,3.5,1.95,3.72,2.39,2.94,2.13,3.23,1.43,3.32,2.82,2.64,3.76,5.3,0.4,1.77,2.23,1.48,1.66
June,,,,,,,,3.95,1.47,4.21,2.61,3.08,5.23,1.37,2.42,1.14,1.62,2.85,0.97,0.86,2.56,0.7,0.96,0.41,2.71,0.2,2.06,5.63,3.82,3.18,0.81,5.59,1.15,3.42,1.99,3.79,4.5,0.82,2.41,1.25,1.31,2.92,0.81,2.4,1.61,3.11,3.22,1.53,3.08,0.59,1.32,0.79,2.38,1.97,3.76,4.04,1.92,1.75,4.42,2.05,2.39
July,,,,,,,,3.31,3.4,2.7,2.59,1.01,3.12,0.7,5.04,6,1.54,1.76,4.33,2.25,5.23,1.06,4.97,3.28,4.86,2.55,2.79,3.25,1.8,2.27,4.61,2.93,3.96,2.12,1.76,0.89,6.52,2.88,2.15,6.16,3.84,2.25,2.24,1.77,2.14,2.52,2.75,3.58,1.41,2.55,3.08,2.36,1.06,2.95,2.98,0.87,2.84,4.51,4.06,1.79,4.14
August,,,,,,,,3.73,4.73,1.87,3.58,1.36,7.65,1.19,3.61,4.18,2.67,8.01,2.19,2.51,1.09,4.13,2.61,4.1,3.96,4.15,3.3,6.22,3.6,2.16,4.03,5.97,1.46,1.01,3.02,1.23,0.98,1.87,2.41,1.79,0.41,4.72,3.72,2.66,3.43,4.45,5.8,0.67,3.07,1.87,5.38,3.8,2.79,2.97,5.11,1.09,5.17,8,4.96,0.76,5.18
September,,,,,,,,0.57,2.28,3.37,0.74,2.15,0.95,2,1.3,0.9,1.46,2.39,6.99,1.83,2.26,0.7,2.59,2.69,4.62,3.5,1.65,4.41,1.52,1.32,4.12,2.63,3.02,1.2,2.62,5.36,4.32,3.22,1.18,0.82,1.3,1.15,1.76,2.87,3.37,2.26,4.98,1.53,2.58,1.89,5.14,2.54,2.53,2.77,2.34,1.58,3.77,5.94,6.43,0.02,4.4
October,,,,,,,,7.01,1.98,4.68,4.44,2.72,3.54,5.55,2.22,3.04,5.38,4.01,1.92,3.29,3.42,2.37,1.32,6.04,5.19,4.68,3.21,2.6,5.31,4.84,3.84,0.96,6.02,5.82,2.85,4.37,2.24,4.47,4.03,3.51,3.4,2.6,2.18,3.57,4.19,4,1.23,0.33,2.17,4.41,1.62,1.25,4.92,2.41,3.86,2.06,2.01,1.91,3.71,3.58,7.32
