HEYHOPE-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SO239744,Long,-3.1189675,Lat,52.36235,Elevation,690,ft.,,,,,,,,,,,,
Station no,RR2733,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,4.36,7.79,6.53,3.86,5.24,1.89,6.79,3.69,1.56,1.4,,,,,,,,,
February,,2.3,5.76,1.43,2.81,2.82,5.45,4.17,1.46,9.51,4.16,,,,,,,,,
March,,2.22,3.77,4.36,2.15,1.9,4.59,2.91,2.26,2.31,3.1,,,,,,,,,
April,,4.47,3.83,1.86,1.19,2.08,3.72,2.82,2.24,1.56,2.34,,,,,,,,,
May,,0.92,2.55,2.35,0.87,2.76,0.52,4.58,6.73,3.53,2.99,,,,,,,,,
June,,2.94,4.33,2.47,0.42,3.66,1.82,3.11,5.13,4.99,4,,,,,,,,,
July,,5.04,5.99,3.55,1.66,5.89,2.38,4.65,1.66,4.2,5.08,,,,,,,,,
August,1.76,1.49,3.08,3.4,5.44,3.59,3.45,7.4,8.4,5.66,0.74,,,,,,,,,
September,,5.73,4.25,2.15,3.68,4.34,6.12,3.32,2.49,4.16,4.78,,,,,,,,,
October,8.85,5.86,6.75,3.75,4.58,7.24,5.57,4.57,5.65,1.87,7.35,,,,,,,,,
November,4.19,1.23,8.63,2.8,4.05,5.05,4.4,6.41,4.73,0.43,,,,,,,,,,
December,2.5,2.15,7.87,1.17,5.03,2.6,7.19,3.47,3.69,1.8,4.85,,,,,,,,,
Total,,38.71,64.6,35.82,35.74,47.17,47.1,54.2,48.13,41.58,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Heyhope Rectory. Stated altitude might be 30 to 50 ft. too high,,,,,,,,,,,,,,,,,,,,
