BOSTON - FREISTON ROAD,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF339441,Long,-0.007,Lat,52.978,Elevation,16,ft,,,,,,,,,,,,,,,,
Station no,2538/5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.42,4.45,1.71,2.90,2.55,4.29,2.33,2.86,1.15,2.04,4.01,1.10,0.97,3.16,1.65,0.86,1.32,2.26,6.37,1.67,1.96,2.73,3.65
February,,1.01,0.43,2.24,3.06,1.30,0.43,2.10,1.95,1.84,1.79,0.88,0.70,3.26,3.01,0.48,1.81,2.38,3.15,1.14,3.23,3.27,0.14,2.92
March,,0.27,1.91,1.65,3.44,1.61,0.60,0.41,0.66,0.90,4.41,0.48,0.91,0.54,3.10,2.55,0.87,1.92,2.10,0.80,1.67,1.42,2.30,1.06
April,,0.25,1.80,1.14,0.79,0.78,0.87,1.75,1.24,1.10,1.76,0.90,1.77,1.95,2.44,1.15,2.17,0.33,1.47,1.32,0.25,0.69,1.49,0.70
May,6.44,2.10,0.64,1.06,1.98,2.68,2.49,0.90,1.25,1.14,0.29,2.79,1.72,3.23,2.85,2.88,3.01,2.68,2.60,0.74,1.84,2.64,0.40,0.66
June,2.84,0.93,2.20,0.91,0.51,1.60,1.47,2.36,1.91,2.62,3.01,3.08,0.80,1.46,0.90,1.80,3.44,2.85,2.49,2.46,1.97,3.03,0.90,0.58
July,7.11,2.20,1.92,4.67,4.22,2.39,1.20,1.84,1.85,1.87,1.46,1.48,2.76,2.54,1.14,0.37,1.35,1.95,0.35,2.76,2.84,4.62,2.40,3.66
August,0.86,2.01,1.46,0.58,4.39,2.33,2.15,2.65,5.13,2.82,0.02,3.62,1.99,2.03,3.41,2.44,2.90,3.82,0.71,4.10,2.02,1.91,0.97,4.84
September,1.78,2.59,0.92,0.65,0.68,1.22,1.90,4.19,1.21,2.69,1.19,2.28,1.41,3.81,2.11,2.26,1.06,2.50,1.28,1.54,4.33,2.38,0.61,2.78
October,2.04,2.09,3.04,2.61,3.09,2.43,0.90,2.34,2.35,2.94,0.16,1.74,4.33,0.95,0.90,1.94,2.35,2.55,1.57,0.86,1.54,1.83,1.62,5.02
November,2.73,1.81,3.69,4.29,2.96,2.62,2.06,3.75,0.85,4.38,1.09,1.35,2.52,3.77,3.41,2.66,1.70,3.97,1.19,0.87,1.80,1.04,1.65,3.48
December,3.11,4.19,2.31,1.78,0.38,1.73,0.93,1.21,2.30,2.26,2.03,2.86,1.34,1.79,1.20,1.91,0.83,2.19,1.69,1.35,1.97,2.71,3.68,4.74
Total,,21.87,24.77,23.29,28.40,23.24,19.29,25.83,23.56,25.71,19.25,25.47,21.35,26.30,27.63,22.09,22.35,28.46,20.86,24.31,25.13,27.50,18.89,34.09
,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/106,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/189,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/192,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1969 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,
