"BOSTON (FRIESTON ROAD)",,,,,,,,,,,,
Grid ref,TF339441,Long,-0.007211,Lat,52.977530,,,,,,,
Station no,2538/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.16,1.65,0.86,1.32,2.26,6.37,1.67,1.96,2.73,3.65,,
February,3.01,0.48,1.81,2.38,3.15,1.14,3.23,3.27,0.14,2.92,,
March,3.10,2.55,0.87,1.92,2.10,0.80,1.67,1.42,2.30,1.06,,
April,2.44,1.15,2.17,0.33,1.47,1.32,0.25,0.69,1.49,0.70,,
May,2.85,2.88,3.01,2.68,2.60,0.74,1.84,2.64,0.40,0.66,,
June,0.90,1.80,3.44,2.85,2.49,2.46,1.97,3.03,0.90,0.58,,
July,1.14,0.37,1.35,1.95,0.35,2.76,2.84,4.62,2.40,3.66,,
August,3.41,2.44,2.90,3.82,0.71,4.10,2.02,1.91,0.97,4.84,,
September,2.11,2.26,1.06,2.50,1.28,1.54,4.33,2.38,0.61,2.78,,
October,0.90,1.94,2.35,2.55,1.57,0.86,1.54,1.83,1.62,5.02,,
November,3.41,2.66,1.70,3.97,1.19,0.87,1.80,1.04,1.65,3.48,,
December,1.20,1.91,0.83,2.19,1.69,-999.00,1.97,2.71,3.68,4.74,,
Total,27.63,22.09,22.35,28.46,20.86,24.31,25.13,27.50,18.89,34.09,,
Calc annual,27.63,22.09,22.35,28.46,20.86,22.96,25.13,27.50,18.89,34.09,,
Difference,0.00,0.00,0.00,0.00,-0.00,1.35,0.00,0.00,-0.00,0.00,,
