MEALL LIATH,,,,,,,,,,
Grid ref,NN583356,Long,-4.303048,Lat,56.491099,Elevation,1770,ft,,
Station no,5556/4/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.7,1.95,5.1
February,,,,,,,,2.5,3.54,5.13
March,,,,,,,,1.4,5.98,2.49
April,,,,,,,,2.75,4.7,6.65
May,,,,,,,,4.42,1.95,4.4
June,,,,,,,,4.05,2.7,3.3
July,,,,,,,,5.35,5.8,4.2
August,,,,,,,,7.26,3.02,4.55
September,,,,,,,,7.35,1.77,3.93
October,,,,,,,,6.35,5.95,5.25
November,,,,,,,,1.5,8.8,6.2
December,,,,,,,,6.9,10.23,7.19
Total,,,,,,,,54.53,56.39,58.39
,,,,,,,,,,
BR 1954 P see sheet Deleted,,,,,,,,,,
BR 1955 P see sheet Deleted,,,,,,,,,,
BR 1956 NP Deleted,,,,,,,,,,
BR 1957 NP Deleted,,,,,,,,,,
BR 1958 P,,,,,,,,,,
BR 1959 P,,,,,,,,,,
BR 1960 P,,,,,,,,,,
,,,,,,,,,,
Station no,5556/4/7,,,,,,,,,
Midas,15102,,,,,,,,,
Hyd Stn,861263,,,,,,,,,
