MEALL LIATH Sloping Gauge,,,,,,,,,,
Grid ref,NN581362,Long,-4.306621,Lat,56.496425,Elevation,1830,ft,,
Station no,5556/46,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.95
February,,,,,,,,,,4.7
March,,,,,,,,,,3.25
April,,,,,,,,,4.2,6.09
May,,,,,,,,,1.8,4.31
June,,,,,,,,,3.1,3.47
July,,,,,,,,,5.9,3.85
August,,,,,,,,,3.3,4.77
September,,,,,,,,,1.7,3.72
October,,,,,,,,,5.95,5.41
November,,,,,,,,,11.66,6.22
December,,,,,,,,,10.05,7.33
Total,,,,,,,,,,58.07
,,,,,,,,,,
BR 1959 NP inc & Exp Gauge,,,,,,,,,,
BR 1960 NP  Exp Gauge,,,,,,,,,,
,,,,,,,,,,
Station no,5556/46,,,,,,,,,
Midas,15098,,,,,,,,,
Hyd Stn,861241,,,,,,,,,
