DARTMOOR-BEARDOWN-(TOR-NEW-GAUGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX603775,Long,-3.974528,Lat,50.580483,Elevation,1582,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1710/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,9.3,11.4,6.88,8.75,9.98,13.97,9.54,6.76,11.56,8.2,16.27,3.91,4.32,11.2,,,,,,,,,
February,,,,,,,,3.8,6.15,10.2,11.85,1.24,5.14,2.58,8.71,7.1,4,3.78,4.22,10.86,9.2,,,,,,,,,
March,,,,,,,,1.65,3.1,6.45,8.75,7.95,2.54,0.58,4.4,5.17,18.6,5.03,3.08,6.48,-999,,,,,,,,,
April,,,,,,,,0.35,5.75,5.15,2.1,4.4,2.58,4.54,2.92,3.35,7,3.82,5.53,4.67,-999,,,,,,,,,
May,,,,,,,,6,1.46,2.6,4.56,12.5,8.73,1.35,5.33,6.93,4.7,4.55,5.17,3.41,3.95,,,,,,,,,
June,,,,,,,,4,6.2,1.23,3.7,0.96,3.47,6.83,7.87,7.45,5.45,5.29,0.76,2.7,3.15,,,,,,,,,
July,,,,,,,,7.1,13.65,4.11,3,4.8,6.04,6.46,,3.7,4.6,4.05,4.07,9.3,3.13,,,,,,,,,
August,,,,,,,,9.05,5.3,0.5,8.84,7.15,8.02,5.72,3.8,8.35,1.03,7.09,3.66,11.51,12.79,,,,,,,,,
September,,,,,,,,3.53,1.5,3.8,0.68,6.24,6.46,6.11,6.09,14.85,4.05,6.25,6.55,11.87,8.23,,,,,,,,,
October,,,,,,,,11.65,7.2,8.68,4.05,6.6,8,11.52,8.33,5.19,2.7,8.75,13.8,2.9,2.72,,,,,,,,,
November,,,,,,,,15.25,18.6,16.1,6.45,1.38,5.17,16.54,1.27,19.7,8.01,4.48,8.77,13.27,14.62,,,,,,,,,
December,,,,,,,,7.5,6.8,7.75,7.15,16.43,6.17,7.92,12.65,8.75,6.9,14.02,4.66,8.64,9.43,,,,,,,,,
Total,,,,,,,,79.18,87.11,73.45,69.88,79.63,76.29,79.69,,102.1,75.24,83.38,64.18,89.93,91.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge read monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Feb estimated for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1945 July estimated – note says 1943 but as other gauges on moor were estimated in 1945 and that is the value in brackets, taken as error",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Jan Feb values in brackets ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1949 Old gauge to be abandoned during 1949, so not sure about 1950 and 1951 values.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 Mar Apr apportioned – value 13.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
