"DARTMOOR BEARDOWN PRINCETOWN NO3",,,,,,,,,,,,
Grid ref,SX604773,Long,-3.973041,Lat,50.578709,,,,,,,
Station no,1710,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,2.50,4.10,2.30,,
February,,,,,-999.00,,,3.20,2.60,0.60,,
March,,,,14.90,,-999.00,,1.35,4.30,6.20,,
April,,,,,,,,5.90,3.08,3.10,,
May,,,,5.30,-999.00,,,5.98,2.80,2.20,,
June,,,,,,,,3.75,1.53,2.80,,
July,,,,,,-999.00,,2.10,3.63,4.00,,
August,,,,12.00,-999.00,,,2.70,4.60,2.60,,
September,,,,,,,1.65,1.38,2.60,2.00,,
October,,,,17.10,,,7.43,9.20,2.30,9.10,,
November,,,,0.10,,-999.00,4.27,4.50,2.30,2.00,,
December,,,,11.10,,,4.20,4.10,4.30,6.10,,
Total,,,46.80,60.50,47.00,38.00,45.77,46.66,38.14,43.00,,
Calc annual,0.00,0.00,0.00,60.50,0.00,0.00,17.55,46.66,38.14,43.00,,
Difference,NaN,NaN,46.80,-0.00,47.00,38.00,28.22,-0.00,0.00,0.00,,
