"KELSO, MAXWELLHEUGH, SPRINGWOOD NURSERIES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT716330,Long,-2.45215,Lat,55.589801,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,0.65,1.83,1.52,1.81,1.67,2.45,0.99,2.28,1.83,2.01,1.76,2.19,3.33,2.86,2.81,2.21,4.41,1.97,1.37,,,,,,,
February,,,,,,0.88,0.94,1.1,1.55,1.77,2.34,1.87,2.21,0.84,1.91,2.6,4.01,1.14,2.06,1.8,3.13,0.31,2.24,2.51,,,,,,,
March,,,,,,2.81,1.64,1.19,3.33,4.57,0.8,2.26,1.93,2.78,2.64,1.9,3.47,1.05,0.62,1.86,2.77,1.38,1.4,0.91,,,,,,,
April,,,,,,3.44,1.07,2.09,1.46,3.09,2.63,1.86,0.25,2.72,0.61,0.51,2.08,3.4,0.82,1.61,1.79,0.58,2.41,1.6,,,,,,,
May,,,,,,0.7,5.76,3.37,2.09,1.5,1.83,0.8,1.62,2.02,1.66,1.2,3.19,2.03,2.01,1.1,2.9,1.55,0.64,1.79,,,,,,,
June,,,,,,0.81,2.04,3.85,1.58,1.98,0.96,3.39,5.56,2.35,1.94,2.61,2.34,1.17,0.43,1.13,0.92,0.85,1.77,0.76,,,,,,,
July,,,,,,1.66,2.33,2.67,2.52,2.16,3.57,0.8,1.97,0.64,1.47,2.63,2.44,1.98,3.25,0.78,2.66,2.82,3.71,1.55,,,,,,,
August,,,,,,4.17,5.17,1.87,2.12,2.32,3.61,1.81,4.68,2.15,1.86,4.09,4.63,6.83,1.55,2.49,3.21,4.66,2.37,3.74,,,,,,,
September,,,,,,2.37,0.52,0.94,2.32,2.01,1.07,1.58,2.54,2.15,1.1,1.71,2.35,1.45,5.05,1.45,1.55,1.61,2.06,1.52,,,,,,,
October,,,,,,2.74,6.03,6.1,2.86,3.25,2.77,3.1,2.85,2.55,1.79,1.15,3.62,3.56,3.27,3.09,1.31,2.61,2.87,1.93,,,,,,,
November,,,,,,3.5,2.94,1.86,1.36,0.77,3.48,4.02,1.75,1.71,4.02,1.98,4.4,2.06,1.17,4.39,1.19,1.3,0.4,3.57,,,,,,,
December,,,,,,0.69,1.52,2.74,0.53,3.24,1.5,4.15,2.28,1.95,5.79,4.16,2.9,1.62,1.44,3.64,2.53,2.22,1.93,2.08,,,,,,,
Total,,,,,,24.42,31.79,29.3,23.53,28.33,27.01,26.63,29.92,23.69,26.8,26.3,37.62,29.62,24.53,26.15,26.17,24.3,23.77,23.33,,,,,,,
