"HODDESDON FIELDES WEIR",,,,,,,,,,,,
Grid ref,TL3902302329,Long,0.010410,Lat,51.702489,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,0.53,0.67,1.68,2.29,1.30,3.48,1.05,1.14,0.67,,
February,,1.08,1.10,0.87,2.51,1.14,1.85,1.23,1.28,0.55,,
March,,1.97,1.34,2.54,1.42,2.60,1.23,0.92,2.56,3.10,,
April,,1.88,0.60,1.29,0.84,1.72,0.53,2.78,2.65,1.83,,
May,,1.10,2.67,2.61,1.84,1.80,0.94,1.82,2.12,1.23,,
June,,0.81,2.53,5.23,1.11,2.95,2.54,1.66,1.14,3.26,,
July,,1.55,1.13,5.76,2.99,1.52,1.11,1.59,2.97,2.89,,
August,,1.60,3.48,4.11,2.41,3.29,0.55,1.76,3.02,2.08,,
September,,1.35,1.13,3.06,1.25,1.85,1.32,0.66,1.11,1.96,,
October,,1.85,1.09,5.89,1.26,1.50,3.77,2.61,1.44,3.80,,
November,,0.68,1.21,1.80,1.75,2.60,3.59,2.21,0.68,0.80,,
December,,3.13,1.08,1.50,1.79,0.86,2.38,2.84,1.99,2.77,,
Total,,17.53,18.03,36.34,21.46,23.13,23.29,21.13,22.10,24.94,,
Calc annual,0.00,17.53,18.03,36.34,21.46,23.13,23.29,21.13,22.10,24.94,,
Difference,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
