HORNCASTLE - MAREHAM-LE-FEN - THE LAWNS,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF278610,Long,-0.091,Lat,53.131,Elevation,11,ft,,,,,,,,,,,,,
Station no,RR3118,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920
January,3.17,0.78,0.92,1.67,1.19,0.72,2.52,0.99,1.25,1.51,1.76,1.65,3.01,3.18,1.31,3.01,0.79,3.26,1.76,2.47,1.64
February,4.75,1.74,1.42,0.34,2.93,0.68,2.31,1.61,1.65,0.67,2.87,1.21,1.44,0.68,0.83,2.50,3.62,1.07,1.46,2.58,1.00
March,0.53,1.83,1.43,3.04,1.86,1.73,2.29,1.72,2.19,3.60,0.63,2.74,1.95,2.29,2.21,1.61,5.12,1.60,0.70,2.44,
April,1.17,1.34,1.28,1.27,0.91,1.94,0.65,1.73,2.43,1.69,2.36,1.28,0.37,2.03,0.89,0.53,2.05,2.87,1.37,1.75,
May,1.39,1.44,2.48,2.54,1.71,0.90,1.92,3.89,1.58,0.95,2.63,0.93,1.91,1.82,1.06,1.64,2.09,1.56,2.25,0.49,
June,2.69,0.90,2.93,1.19,0.83,2.30,1.87,2.06,1.94,3.65,1.82,3.44,3.67,0.92,2.23,0.60,2.56,1.34,1.30,1.07,
July,1.59,2.38,1.57,2.20,3.97,1.14,0.37,1.98,2.82,4.79,2.91,0.20,4.28,0.65,1.86,4.97,2.28,0.91,2.25,3.29,
August,4.02,1.78,2.55,4.52,1.70,3.03,2.37,1.82,2.41,3.73,2.80,2.17,6.01,0.70,1.24,2.76,2.80,6.33,1.30,4.06,
September,1.32,0.92,1.06,3.10,2.67,1.92,1.38,0.71,1.40,1.34,0.74,2.15,1.63,1.86,0.86,0.60,2.31,1.14,3.46,1.95,
October,2.39,2.24,2.23,5.05,1.54,2.09,4.35,5.30,1.00,3.49,1.96,2.36,2.18,3.79,2.16,1.38,2.17,2.70,1.53,2.13,
November,2.35,1.85,0.87,1.99,1.06,2.01,3.10,1.91,1.19,0.80,3.11,3.02,2.70,2.06,2.76,2.81,3.25,1.53,1.65,2.73,
December,4.33,4.84,1.87,1.16,2.01,0.91,1.87,2.66,1.86,3.58,3.70,3.64,3.31,0.64,4.41,4.74,2.67,1.42,2.60,3.13,
Total,29.70,22.04,20.61,28.07,22.38,19.37,25.00,26.38,21.72,29.80,27.29,24.79,32.46,20.62,21.82,27.15,31.71,25.73,21.63,28.09,
,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/100,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/056,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/047,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
# The Kime family lived at The Lawns on Main Street.,,,,,,,,,,,,,,,,,,,,,
