ELGIN INSTITUTION,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 222 627,Long,-3.304819,Lat,57.647716,Elevation,50,ft,,,,,,,,,,,,
Station no,RR2035,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,3.93,0.93,3.4,1.47,3.36,4.04,1.61,0.86,0.78,3.82,1.32,2.02,2.78,0.95,2.9,1.12,1.9
February,,,,0.76,1.8,2.27,2.06,2,3.12,2.82,1.59,1.51,0.83,1.63,0.66,0.95,3.4,2.67,0.32,0.72
March,,,,1.12,2.35,1.51,1.95,2.71,1.33,1.42,0.82,0.8,2.12,2.25,2.7,1.82,5.25,1.96,2.05,2.65
April,,,,2.35,1.35,0.77,1.06,2.92,2.36,2.14,1.33,3.25,1.83,1.92,0.79,1.45,2.58,1.75,0.9,1.4
May,,,,1.37,2.6,1.62,1.39,1.75,0.75,2.45,1.32,1.01,3.57,3.4,1.78,1.92,1.57,4.92,4.9,5.3
June,,,,2.16,1.46,0.42,,2.47,1.06,1.89,2.11,1.82,6.47,2.17,1.61,1.85,2.47,4.8,1.5,3.55
July,,,,0.67,4.13,2.71,2.6,2.05,1.18,0.71,1.3,5.34,2.5,4.45,3.9,5.03,2.79,4.62,1.87,2.85
August,,,,4.21,1.24,3.15,3.09,2.04,4.76,2.09,2.02,3.13,3.3,3.25,6.1,2.96,1.99,4.4,5.85,4.88
September,,,1.77,4.31,3.86,0.8,2.85,2.6,3.98,4.12,2.53,4.42,4.07,5.4,1.8,4.2,4.24,1.45,3.45,1.32
October,,,2.08,1.51,4.88,2.82,2,3.26,1.8,4.12,2.1,1.37,4.82,3.6,2.29,1.7,2.72,2.6,2.65,1.65
November,,,1.58,1.66,2.7,2.48,2.96,1.15,1.51,2.78,3.12,3.37,3.68,3.92,2.98,3.63,2.07,2.57,5.9,2.4
December,,,1.74,3.22,2.22,1.16,4.35,2.46,1.6,2.46,4.25,1.36,1.76,2.12,2.85,1.49,4.8,2.45,3.9,0.51
Total,,,,27.27,29.52,23.11,,28.77,27.49,28.61,23.35,28.16,38.77,35.43,29.48,29.78,34.83,37.09,34.41,29.13
