HORSHAM-DUNEDIN,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ175317,Long,-0.32424248,Lat,51.07261,Elevation,180,ft,,,,,,,,,,,,,
Station no,471,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,3.71,3.83,2.54,5,1.4,4.48,2.51,2.92,2.2,2.45,1.03,,,,,
February,,,,,,5.19,2.89,5.96,1.71,1.13,1.07,2.28,0.54,3.53,0.14,4.24,,,,,
March,,,,,,0.64,0.43,4.19,2.21,0,1.75,0.41,1.64,2.72,2.83,0.38,,,,,
April,,,,,,3.13,3.63,2.17,2.23,0.76,2.38,4.09,2.5,0.72,2.68,3.64,,,,,
May,,,,,,3.18,1.73,1.04,1.49,2.17,2.75,2.78,3.62,1.84,0.57,1.34,,,,,
June,,,,,,0.09,3.53,3.75,2.99,1.78,0.5,1.75,1.47,1.41,1.29,3.74,,,,,
July,,,,,,4.28,1.53,4.18,1.89,2.22,2.43,,3.85,1.82,2.23,0.99,,,,,
August,,,,,,2.66,2.27,4.23,2.76,2.29,4.2,4.73,0.44,1.01,2.96,,,,,,
September,,,,,,2.74,0.6,5.21,1.21,0.46,3.26,1.82,2.24,3.05,2.21,3.98,,,,,
October,,,,,,3.95,2.22,2.36,6.95,4.73,1.56,0.81,6.88,2.93,2.52,4.87,,,,,
November,,,,,,3.65,6.88,3.52,3.12,8.24,5.44,4.17,1.41,1.08,3.86,6.89,,,,,
December,,,,,,3.71,0.5,4.14,3.44,8.52,2.88,0.81,0.91,0.59,8.73,4.76,,,,,
Total,,,,,,36.93,30.04,43.29,35,33.7,32.7,,28.42,22.9,32.47,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1931 Jul estimated,,,,,,,,,,,,,,,,,,,,,
1933 Total corrected,,,,,,,,,,,,,,,,,,,,,
1935 Aug estimated,,,,,,,,,,,,,,,,,,,,,
