LITTLE-PETHERICK-ST-PETROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SW914722,Long,-4.94341,Lat,50.51259,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,2.22,5.22,3.19,2.06,4.99,,2.19,6.96,3.47,2.64,3.14,2.73,1.09,5.28,5.17,4.02,4.98,1.7,3.2,4.25,5.12,2.78,,,,,,
February,,,,6.38,1.63,5.8,2.7,2.09,,1.79,1.96,3.06,0.05,2.98,0.37,3.41,3.89,4.99,1.44,1.53,3.74,4.22,0.36,1.76,1.01,,,,,,
March,,,,1.32,1.49,1.11,0.48,3.27,,0.52,3.19,2.93,1.97,2.93,2.42,0.76,3.83,4.53,0.43,1.36,2.42,3.46,2.25,0.76,0.33,,,,,,
April,,,,3.38,2.79,2.45,2.14,2.32,,0.89,2.85,1.71,2.46,1.64,2.89,3.67,1.84,1.99,0.05,2.35,2.15,0.95,1.84,1.15,1.89,,,,,,
May,,,,2.06,2.24,4.26,1.42,0.98,,3.21,1.95,2.35,3.92,1.73,1.54,1.82,1.41,1.78,2.23,1.01,2.02,2.61,4.95,3.41,0.57,,,,,,
June,,,,0.74,1.72,0.06,2.31,3.24,,2.69,1.05,2.77,1.58,2.87,1.04,3.43,2.26,1.39,1.42,1.84,0.89,2.05,0.4,1.59,,,,,,,
July,,,,1.34,3.93,3.08,2.12,2.26,,1.86,2.39,6.28,3.67,2.69,0.4,0.61,7.46,1.37,2.94,6.73,5.32,1.38,2.04,4.71,,,,,,,
August,,,,1.93,4.12,3.41,2.22,2.41,,2.52,3.28,4,1.27,1.54,3.95,2.89,0.48,0.89,5.77,2.22,0.14,4.46,2.5,2.53,,,,,,,
September,,,,3.09,3.46,3.41,0.68,7.51,,0.45,3.45,3.95,4.87,1.57,2.9,3.65,3.12,3.42,1.33,0.57,1.82,0.35,3.29,6.41,,,,,,,
October,,,,5.94,6.1,3.9,4.2,1.84,,6.56,5.25,1.18,8.49,5.82,3.17,4.83,1.63,3.19,3.38,3.27,2.76,1.99,2.74,3.4,,,,,,,
November,,,,3.55,2.94,4.01,6.22,3.35,,10.47,4.48,5.15,2.71,1.12,2.11,6.52,4.13,1.87,4.84,5.97,6.53,2.65,1.43,3.01,,,,,,,
December,,,,4.83,4.11,4.06,1.06,3.14,,6.63,3.13,2.25,3.29,1.47,7.04,4.16,2.63,3.72,3.81,2.68,4.67,2.83,5.02,2.64,,,,,,,
Total,,,,36.78,39.75,38.74,27.61,37.4,,39.78,39.94,39.1,36.92,29.5,30.56,36.84,37.96,34.31,31.66,34.51,34.16,30.15,31.07,36.49,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown where house was but distance to church and elevation put this house as likely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 Record is wrong day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928 Note says useless No data on sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Mar adjusted from nearby stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 May 30 Gauge moved about 4 miles E to Wadebridge Trevanson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
