"NEWPORT BURRISHOOLE HOUSE",,,,,,,,,,,,
Grid ref,IL9632695401,Long,-9.578075,Lat,53.897794,,,,,,,
Station no,RR1407,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.80,4.53,5.27,5.29,6.25,4.29,7.06,3.07,5.42,5.15,,
February,3.69,2.29,2.09,6.16,6.39,3.61,5.32,3.26,4.71,3.20,,
March,0.91,4.18,5.05,7.54,2.59,5.47,3.85,4.35,5.59,3.10,,
April,5.20,4.44,2.42,2.63,4.20,2.27,3.49,3.15,3.08,4.59,,
May,3.56,2.27,3.59,2.74,3.50,1.41,4.80,4.86,3.52,2.42,,
June,5.32,3.34,2.25,1.21,2.35,2.03,2.59,5.37,2.86,1.36,,
July,1.79,1.38,3.22,5.16,4.16,2.74,2.75,3.12,2.94,5.45,,
August,5.22,6.17,1.76,9.78,5.71,4.59,4.56,5.20,4.60,3.16,,
September,2.69,5.93,2.53,6.55,3.33,2.78,1.32,2.47,6.91,3.04,,
October,6.28,5.54,3.64,8.26,4.24,2.85,6.53,6.04,0.74,7.49,,
November,4.50,6.29,4.65,4.78,5.67,5.50,4.05,3.58,4.23,4.39,,
December,6.39,6.92,4.59,5.00,3.86,4.66,6.28,6.74,6.95,4.33,,
Total,51.35,53.28,41.06,65.10,52.25,42.20,52.60,51.21,51.55,47.68,,
Calc annual,51.35,53.28,41.06,65.10,52.25,42.20,52.60,51.21,51.55,47.68,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
