RYDE-BINSTEAD-QUARR-HILL,,,,,,,,,,
Grid ref,SZ570923,Long,-1.19355,Lat,50.7281,Elevation,120,ft,,
Station no,RR8484,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,4.38,4.98,0.58,4.46,1.05,1.2,3.69,6.25
February,,,2.18,1.24,4.84,5.4,4.86,1,1.06,2.79
March,,,4.4,2.88,5.52,0.44,3.45,3.14,1.06,4.61
April,,,0.11,2.9,1.08,1.08,0.51,1.47,2.08,1.61
May,,,0.86,1.75,0.91,3.28,1.1,1.82,1.53,0.25
June,,,3.37,0.69,0.8,0.78,1.79,1.51,0.97,1.23
July,,,2.17,1.2,2.71,2.97,0.79,2,2.78,1.1
August,,,6.83,1.86,2.11,1.29,1.96,4.69,1.86,2.71
September,,,2.9,2.88,1.37,2.87,2.11,1.42,5.91,1.45
October,,5.78,3.46,4.21,4.06,4.05,4.96,4.85,1.7,0.77
November,,6.06,1.79,3.77,4.02,3.31,4.62,1.07,2.28,3.19
December,,8.73,3.92,2.14,9.43,8.66,4.8,1.08,2.95,5.96
Total,,,36.37,30.5,37.43,38.59,32,25.25,27.87,31.92
,,,,,,,,,,
BR 1920 has no entry for this location,,,,,,,,,,
