KINGSBRIDGE-FORE-ST-HILL(NO-43),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX734442,Long,-3.7775,Lat,50.2849,Elevation,63,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,7.21,5.78,5.08,2.98,3.97,8.59,7.17,5.08,7.64,1.64,8.35,2.19,7.57,1.15,4.85,2.93,4.95,,,,,,
February,,,,,,,,3.68,2.38,3.99,2.83,2.94,4.76,4.64,4.15,1.79,5.3,2.71,2.83,6.18,4.26,5.72,2.65,5.64,,,,,,
March,,,,,,,,9.18,2.05,3.24,4.24,1.76,3.4,5.28,1.24,1.17,5.3,3.7,2.71,0.76,2.41,4.81,2.04,1.51,,,,,,
April,,,,,,,2.49,3.53,2.11,1.38,0.28,8.53,1.57,0.42,2.27,1.81,3.44,6.29,5.76,4.71,2.4,0.98,7.1,0.79,,,,,,
May,,,,,,,2.59,4.79,2.28,5.48,0.31,1.45,2.35,1.72,1.29,2.45,0.31,3.93,4.69,2.93,0.57,1.18,1.55,2.84,,,,,,
June,,,,,,,2.01,0.74,0.68,0.54,0.23,1.28,4.95,2.01,1.89,3.85,1.69,1.97,2.25,8.28,1.6,3.49,4.51,3.49,,,,,,
July,,,,,,,0.85,4.83,0.36,0.33,1.2,4.7,3.71,2.66,1.55,5,0.96,3.43,2.07,5.01,3.22,2.23,4.54,2.48,,,,,,
August,,,,,,,4.39,1.63,4.7,0.65,1.87,2.16,1.48,4.96,2.65,2.14,6.1,4.92,5.36,7.04,0.92,4.12,3.56,2.04,,,,,,
September,,,,,,,7.57,3.21,4.36,5.87,1.35,7.56,3.69,2.52,4.42,7.8,5.52,3.15,3.51,4.26,3.71,2.77,5.04,5.18,,,,,,
October,,,,,,,3.02,4.14,4.07,2.55,4.33,4.39,5.95,3.43,6.87,6.8,4.83,3.42,3.5,1.32,7.24,3.64,8.65,2.82,,,,,,
November,,,,,,,2.53,2.19,2.4,3.28,3.12,1.43,6.15,4.5,4.29,6.89,6.76,8.56,3.35,0.96,4.38,6.7,6.16,4.35,,,,,,
December,,,,,,,4.73,2.38,7.76,6.14,3.3,3.13,7.12,0.71,7.46,2.22,10.99,2.85,3.27,1.76,6.29,3.99,6.78,1.45,,,,,,
Total,,,,,,,,47.51,38.93,38.53,26.04,43.3,53.72,40.02,43.16,49.56,52.84,53.28,41.49,50.78,38.15,44.48,55.51,37.54,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868 Dec rained every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869 The gauge 5in which I placed lower down in the garden has registered less than the other one and always less when there is a driving SW wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871 Gauge moved lower down the garden away from all trees and buildings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
