KINGSBRIDGE-FORE-ST-HILL(NO-43-2ND-GAUGE-ALT-63+10FT),,,,,,,,,,
Grid ref,SX734442,Long,-3.7775,Lat,50.2849,Elevation,73,ft,,
Station no,RR1911,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,
July,,,,,,,,,,
August,,,,,,,4.07,,,
September,,,,,,,7.5,,,
October,,,,,,,3.02,,,
November,,,,,,,2.13,,,
December,,,,,,,4.31,,,
Total,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Gauge 10ft above ground,,,,,,,,,,
