KINGSBRIDGE-FORE-ST-HILL(NO-102),,,,,,,,,,,,,,,,,,,,
Grid ref,SX733445,Long,-3.7788,Lat,50.287,Elevation,84,ft,,,,,,,,,,,,
Station no,RR1911,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,5.02,2.55,6.68,3.55,2.18,1.39,5.52,2.84,1.51,,5.92,5.95,,,,
February,,,,,5.02,4.42,1.96,1.04,1.03,3.05,1.44,0,2.78,,3.03,0.06,,,,
March,,,,,4.14,1.72,4.09,2.77,4.58,4.25,1.75,6.57,0.94,,1.84,3.35,,,,
April,,,,,1.89,3.5,2.94,1.19,1.92,1.58,3.16,1.99,1.31,,2.71,2.74,,5.74,,
May,,,,,1.75,4.79,4.16,1.82,2.4,2.33,1.86,3.28,0.8,,2.39,0.67,,1.9,,
June,,,,,0.31,1.78,0.53,0.56,2.59,0.25,3.31,3.33,1.14,,2.62,1.61,,,,
July,,,,,3.44,0.54,3.91,1.36,5.1,4.65,3.49,2.49,1.3,,3.88,3.11,,,,
August,,,,,1.48,1.41,2.2,1.66,3.52,3.22,4.05,7.01,2.85,,3.69,3.23,,3.84,,
September,,,,,2.87,3.99,2.35,3.59,1.22,2.2,1.05,2.98,3.21,,3.39,0.45,,,,
October,,,,,1.46,6.95,8.41,3.93,2.33,7.64,1.33,9.29,4.86,,5.99,5.41,,,,
November,,,,,2.16,5.11,4.04,5.32,10.29,2.19,3.88,4.9,3.21,,7.72,7.25,,,,
December,,,,,5.5,2.56,7.73,3.32,3.44,3.55,7.57,6.42,2.68,,3.87,9.14,,,,
Total,,,,,35.04,39.32,49,30.11,40.6,36.3,38.41,51.1,26.59,,47.05,42.97,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Between hotel and Grammar School,,,,,,,,,,,,,,,,,,,,
About 200yrds N of the earlier gauge,,,,,,,,,,,,,,,,,,,,
