WIMBORNE-UPLANDS,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU016003,Long,-1.97867,Lat,50.80281,Elevation,170,ft,,,,,,,,,,,,,
Station no,1616,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,4.15,2.43,2.6,2.77,2.53,0.85,5.69,,,,
February,,,,,,,,,,,0.74,2.02,0.09,4.57,0.04,3.52,3.21,,,,
March,,,,,,,,,,,1.07,1.1,1.58,3.59,3.23,1.03,3.9,,,,
April,,,,,,,,,,,2.45,2.54,2.73,1.63,2.06,3.51,1.9,,,,
May,,,,,,,,,,,2.77,3.39,3.15,1.13,0.75,1.1,0.63,,,,
June,,,,,,,,,,,0.41,2.9,2.46,1.07,1.42,4.23,1.99,,,,
July,,,,,,,,,,,1.62,4.79,3.03,1.92,0.33,0.85,4.48,,,,
August,,,,,,,,,,,3.89,3.22,0.94,1.14,3.82,3.46,0.19,,,,
September,,,,,,,,,,,3.71,1.56,3.84,1.61,2.32,3.2,2.88,,,,
October,,,,,,,,,,,2.22,0.83,5.67,1.81,1.74,6.27,1.63,,,,
November,,,,,,,,,,,5.95,5.06,2.13,0.82,2.62,8.48,3.46,,,,
December,,,,,,,,,,,4.56,1.08,1.36,1.17,10.07,5.44,3.72,,,,
Total,,,,,,,,,,,33.54,30.92,29.58,23.23,30.93,41.94,33.68,,,,
,,,,,,,,,,,,,,,,,,,,,
No elevation on sheet so taken from map But house on slope and unknown where gauge was,,,,,,,,,,,,,,,,,,,,,
Observer died Oct 1936 Wife stops after Dec 1936 Station terminated,,,,,,,,,,,,,,,,,,,,,
