"DERWENT DAM",,,,,,,,,,,,
Grid ref,SK172898,Long,-1.742752,Lat,53.404743,,,,,,,
Station no,2693,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,5.08,2.14,3.41,2.41,,
February,,,,,,,3.74,2.58,3.76,2.86,,
March,,,,,,,4.06,4.06,3.87,4.38,,
April,,,,,,,1.74,3.13,3.38,2.33,,
May,,,,,,,2.78,4.36,3.81,2.27,,
June,,,,,,,1.61,6.56,2.34,4.39,,
July,,,,,,,2.68,2.54,4.88,4.58,,
August,,,,,,,3.34,3.95,3.48,1.91,,
September,,,,,,,1.45,0.82,2.98,3.08,,
October,,,,,,,6.11,6.91,1.51,5.03,,
November,,,,,,,5.87,3.64,3.43,1.49,,
December,,,,,,,4.46,3.94,2.60,8.40,,
Total,,,,,,,42.92,44.63,39.45,43.13,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,42.92,44.63,39.45,43.13,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
