MAIDENHEAD-SHOPPENHANGERS-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU883798,Long,-0.72902052,Lat,51.510239,Elevation,130,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,782/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.24,4.08,,,2.65,4.16,1.57,1.56,1.52,1.32,4.46,1.18,0.6,2.93,1.77,0.8,0.99,2.46,2.66,,,,
February,,,,,,,,0.39,0.83,,,1.11,1.15,1.29,1.71,2.37,1.25,0.94,1.04,3.76,4.64,0.71,1.35,2.25,1.51,1.03,,,,
March,,,,,,,,0.31,1.16,,,1.72,0.41,0.15,0.47,1.08,5.38,0.84,1.39,0.66,3.45,2.46,0.41,2.26,1.03,0.61,,,,
April,,,,,,,,0.07,2.95,,,1.43,0.79,1.32,1.11,1.92,1.77,1.71,1.18,2.2,2.58,1.66,2.16,0.37,0.38,2.11,,,,
May,,,,,,,,1.8,1.5,,,2.73,1.95,0.5,2.47,4.58,1.64,2.36,2.16,1.59,2.63,2.7,1.41,2.65,4.12,0.25,,,,
June,,,,,,,,0.48,1.08,,,0.48,2.25,1.41,2.33,2.72,2.38,1.96,0.6,1.65,1.13,1.21,0.99,3.85,2.4,1.88,,,,
July,,,,,,,,1.33,2.43,,,1.59,1.24,1.94,2.77,1.81,1.22,0.97,2.47,4.43,1.53,0.38,3.21,2.87,0.42,3.27,,,,
August,,,,,,,,1.99,1.96,,,1.81,1.42,1.41,1.14,3.52,0.2,2.48,1.61,3.3,3.75,2.73,1.68,3.04,1.09,4,,,,
September,,,,,,,,1.31,0.64,,,1.34,1.6,2.06,1.97,3.94,1.02,2.45,1.23,2.95,2.75,2.75,2.05,1.77,1.46,,,,,
October,,,,,,,,2.52,3.91,,,3.41,3.11,3.4,3.16,1.04,0.18,2.02,6.3,0.45,0.79,2.11,2.56,2.01,3.3,,,,,
November,,,,,,,0.94,2.64,4.67,,,1.61,1.41,4.01,0.2,4.23,1.26,1.71,2.35,4.87,5.44,2.5,1.15,4.33,1.55,,,,,
December,,,,,,,3.09,2.43,1.15,,,2.57,1.39,1.52,2.45,2.16,2.36,2.8,1.27,1.33,1.46,2.59,0.55,2.37,2.24,,,,,
Total,,,,,,,,17.51,26.36,,,22.45,20.88,20.58,21.34,30.89,19.98,24.7,22.78,27.79,33.08,23.57,18.32,28.76,21.96,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is on Shoppehangers Road at the stated altitude (corrected figure) at about the correct relationship with the station. NGR could be +/- 200m. NGR on 1950s record is indecipherable, started SU883.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
