CHESTER-NEWTON-NURSERIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ408680,Long,-2.8877893,Lat,53.205757,Elevation,62,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,1.64,1.3,3.3,2.06,2.39,2.88,1.02,4.66,2.74,1.82,0.91,0.55,2.26,3.02,3.04,1.25,3.87,3.37,1.32,0.72,2.66,1.4,2.93,1.49,1.29,3.68,1.19,1.46,1.14,3.27,3.9,1.84,2.19,2.36,2.05,,4.19,,,
February,1.15,1.97,2.2,0.63,0.94,1.33,2.54,2.16,1.11,2.49,1.31,2.69,2.06,1.81,2.87,2.21,1.13,0.39,1.13,2.24,0.61,0.16,1.55,2.7,2.04,0.17,1.07,2.06,1.54,1.64,2.94,1.23,1.58,1.37,3.03,,1.09,,,
March,1.75,1.38,2.77,2.94,1.03,0.93,2.37,2.81,1.08,0.99,1.11,2.46,1.81,1.38,2.48,1.63,1.9,1.4,1.57,2.17,1.87,0.89,1.4,0.89,1.08,2.12,2.88,2.06,0.86,0.92,1.22,1.69,0.41,3.63,1.69,,0.85,,,
April,1.42,2.5,3.11,1.11,1.16,0.74,2.9,2.52,1.42,2.62,1.15,0.88,3.84,0.92,1.13,1.79,1.58,0.77,0.97,2.79,1.27,1.67,1.2,0.55,1.3,1.57,1.07,1.88,1.12,2.39,1,1.74,2.08,1.54,0.78,,0.73,,,
May,0.76,1.48,2.02,2.35,2.24,1.9,0.52,2.51,4.63,2.19,2.89,1.81,2.13,1.21,1.18,1.66,7.25,2.14,0.68,1.5,1.82,3.26,2.78,1.51,2.32,0.85,0.36,1.33,4.51,2.17,1.3,1.05,3.47,2.63,1.96,,2.22,,,
June,0.82,3.8,6.43,1.58,0.93,2.39,2.25,1.36,3.72,4.45,2.51,1.9,4.4,3.22,2.17,3.03,2.1,1.53,2.24,0.82,2.97,5.77,3.01,1.49,2.38,2.67,2.65,2.31,2.45,2.47,1.99,2.01,1.52,1.17,1.52,,1.18,,,
July,0.37,3.76,7.94,2.33,2.63,4.91,1.93,6.05,0.81,3.16,6.92,1.98,3.78,1.91,4.77,1.16,2.86,2.39,5.11,3.27,3.06,2.89,2.48,2.46,3.3,4.18,1.8,0.42,0.69,2.2,2.52,3.99,2.55,3.95,1.42,,1.01,,,
August,1.89,1.61,3.92,3.45,2.92,2.55,2.72,4.9,4.75,7.17,2.14,4.22,2.66,1.86,1.3,1.61,1.06,1.75,3.37,3.34,3.42,4.63,3.74,2.87,3.9,2.13,2.76,2.7,4.01,1.96,6.11,3.13,4.05,3.44,3.87,,2.48,,,
September,1.82,4.27,5.14,2.54,1.86,3.8,4.53,2.84,3.09,3.05,2.59,2.01,1.91,5.22,2.17,3.39,3.42,3.53,0.88,2.67,1.6,3.35,2.91,1.93,0.68,1.39,3.48,3.34,0.9,2.69,0.79,0.74,1.4,3.75,2.53,,1.3,,,
October,4.48,4.51,6.9,2.96,2.63,4.93,2.26,3.11,3.25,1.6,4.79,2.44,2.66,3.37,1.22,5.85,4.56,2.9,0.97,2.64,2.26,2.91,6.81,1.89,2.44,4.74,3.28,1.53,3.48,3.09,4.06,2.82,3.7,6.02,0.99,,4.13,,,
November,2.46,1.4,4,1.74,3.35,3.14,4.41,3.22,2.32,0.92,2.94,2.56,4.43,3.02,2.24,2.99,2.79,1.14,3.88,2.56,5.85,2.58,2.06,1.21,1.75,3.28,1.36,2.33,1.39,1.46,3.15,2.92,1.24,3.2,1.73,,1.83,,,
December,2.95,1.83,4.29,0.8,2.02,0.85,4.42,2.85,3.16,1.35,5.14,2.75,4.65,1.34,2.36,1.16,3.82,2.19,1.67,2.26,0.54,3.08,2.74,3.32,1.84,2.12,2.8,1.97,1.65,1.67,2.6,3.91,2.45,1.29,1.48,,3.18,,,
Total,21.51,29.81,52.02,24.49,24.1,30.35,31.87,38.99,32.08,31.81,34.4,26.25,36.59,28.28,26.93,27.73,36.34,23.5,23.79,26.98,27.93,32.59,33.61,22.31,24.32,28.9,24.7,23.39,23.74,25.93,31.58,27.07,26.64,34.35,23.05,,24.19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is some nurseries in Newton. Altitudes Match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
