"FARNHAM (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,SU855480,Long,-0.776996,Lat,51.224800,,,,,,,
Station no,198/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.15,2.42,1.00,1.87,3.16,4.55,2.16,3.20,3.01,3.66,,
February,6.31,0.69,1.71,3.00,1.53,0.31,4.10,2.65,0.25,3.23,,
March,4.47,2.73,0.44,2.70,1.06,0.71,1.47,1.88,3.25,2.04,,
April,2.91,1.89,2.32,0.37,0.33,1.09,0.35,1.10,2.49,0.68,,
May,3.29,2.43,2.19,3.12,3.77,0.24,1.40,2.32,1.08,2.26,,
June,1.08,1.48,1.32,2.40,2.32,2.51,0.95,4.21,1.10,1.29,,
July,4.27,0.54,2.93,2.72,1.11,3.16,3.64,1.47,3.99,2.93,,
August,4.36,2.57,1.47,2.75,1.25,3.66,2.15,4.56,2.74,4.47,,
September,2.34,3.24,2.45,2.44,2.26,4.10,3.17,4.66,0.11,4.10,,
October,0.84,3.53,3.87,2.66,4.39,2.04,2.02,3.28,2.94,8.32,,
November,8.90,3.57,1.73,5.27,2.52,0.93,3.59,2.90,3.72,5.41,,
December,2.61,2.96,0.88,2.60,3.08,4.48,2.56,3.03,5.53,3.86,,
Total,45.53,28.05,22.31,31.90,26.78,27.78,27.56,35.26,30.21,42.25,,
Calc annual,45.53,28.05,22.31,31.90,26.78,27.78,27.56,35.26,30.21,42.25,,
Difference,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
