SHERBORNE CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST649163,Long,-2.500986,Lat,50.945062,Elevation,195,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,4,3.22,1.25,3.09,4.35,0.92,5.42,0.92,1.13,1.25,3.71,1.27,4.95,5.51,0.74,3.93,1.29,0.9,4.13,5.61,4.71,3.28,4.53,2.01,3.8,3.82,3.74,3.72,4.25,1.35,5.55,2.4,3.38,3.04,2.97,0.71,5.09,6.74,3,6.46,2.46,3.5,4.31,7.27,2.04,2.38,3.26,2.47,5.15,0.59,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,2.34,5.55,1.31,1.28,1.7,5.11,0.87,2.83,1.57,1.09,0.87,4.49,1.68,2.8,1.18,4.91,5.56,6.69,1.27,1.46,2.84,0.88,0.23,2.74,7.43,0.63,4.23,2.04,4.53,2.44,1.33,0.84,2.17,0.04,4,0.12,3.17,3.25,5.51,0.88,2.11,3.46,3.29,0.32,1.32,0.57,1.91,1.85,1.89,1.16,1.43,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.5,1.95,2.13,2.07,4.62,1.68,4.43,1.2,0.77,3.43,4.59,0.85,2.26,4.93,2.86,5.24,1,3.34,3.37,1.25,4.81,2.57,2.16,3.4,1.44,1.46,1.09,0.98,4.45,2.32,0.31,1.57,1.19,1.8,3.61,2.58,1.16,4.04,4.24,0.25,1.26,2.49,3.28,2.72,0.84,0.37,1.11,0.78,6.85,1.37,1.58,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,2.74,1.63,2.63,2.2,3.78,1.37,2,0.88,4.62,2.49,2.14,2.37,1.94,0.1,3.31,1.25,1.49,0.97,2.08,1.96,2.23,4.94,1.07,3.47,2.23,2.9,2.8,2.95,1.61,1.53,0.85,2.68,2.73,2.53,0.96,2.47,4.01,1.85,2.07,0.1,2.08,1.99,2.11,1.68,0.96,1.39,0.77,3.06,2.61,1.35,1.74,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,1.66,2.16,1.92,2.48,3.51,3.01,0.43,3.87,1.66,1.91,1.45,2.17,1.06,1.33,2.57,1.59,2.51,2.35,2.09,1.66,0.6,1.59,2.36,0.57,2.05,6.21,3.62,1.78,1.33,1.36,2.68,1.7,2.68,4.65,1.77,1.08,1.54,0.4,2.96,2,0.54,2.74,1.71,4.31,2.71,1.48,3.52,3.69,2.12,3.27,1.97,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.12,2.74,0.94,3.52,2.86,0.71,3.42,2.08,1.86,0.45,3.13,6.04,2.08,3.87,0.77,2.9,1.43,1.77,2.82,0.99,1.01,1.76,0.37,0.78,0.48,1.9,0.02,2.43,2.05,2.73,1.69,0.31,2.56,2.06,2.31,1,3.85,2.31,0.79,1.45,1.95,0.55,2.08,0.54,2.14,1.74,2.98,3.18,1.4,2.01,0.41,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,1.17,0.91,2.64,1.89,3.3,3.02,0.33,1.87,1.32,2,3.16,3.54,0.1,2.59,0.71,4.7,3.67,0.87,2.86,5.04,2.52,4.73,0.77,4.23,1.12,4.19,2.89,2.06,3.25,1.91,1.45,1.89,4.13,2.36,2.54,0.5,0.73,5.35,3.32,3.36,7.02,3.97,2.75,1.23,2.88,2.57,1.51,1.19,1.98,1.26,1.39,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,0.79,2.4,2,3.73,3.99,3.44,4.14,1.24,2.16,2.99,2.25,3.73,0.78,6.57,2.18,2.68,2.78,5.7,5.38,3.07,3.71,2.49,1.62,3.95,2.36,3.15,2.94,1.58,3.57,2.36,1.72,4.25,3.1,0.77,2.17,3.41,2.92,0.07,1.47,2.43,3.47,0.2,3.44,3.88,2.9,3.12,1.91,4.91,0.87,4.73,1.29,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,2.8,0.62,2.94,1.54,2.87,2.07,1.3,0.91,0.59,2.97,3.85,0.29,1.06,1.27,3.84,2.43,1.76,4.48,1.8,5.03,1.6,1.36,0.98,1.94,3.37,4.43,3.73,1.12,5.88,1.84,0.72,3.34,1.7,4.63,2.39,2.77,3.46,3.12,3.35,1.84,0.73,2.3,0.8,2.03,2.23,1.69,4.44,5.34,1.35,2.43,3.93,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,2.38,3.31,2.29,2.53,6.72,2.06,2.04,5.22,6.63,2.57,6.76,5.45,2.57,4.19,4.71,3.23,7.16,7.08,3.99,1.75,2.88,3.36,1.15,1.54,5.71,5.19,4.05,3.44,2.93,6.01,4.97,2.61,0.53,7.02,2.37,3.25,4.84,1.65,5.1,3.09,3.78,4.91,1.39,3.06,4.12,4.58,3.29,1.45,0.68,3.07,7.57,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
