ARCHIESTOWN BENVIEW,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 231 442,Long,-3.28427,Lat,57.481353,Elevation,750,ft,,,,,,,,,,,,
Station no,5676,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,1.58,1.52,1.79,1.77,2.33,3.39,1.63,2.26,1.23,2.62,,,,,
February,,,,,,2.74,3.16,2.59,2.6,1.68,1.68,2.36,1.6,1.34,1.29,,,,,
March,,,,,,3.05,3.92,1.98,3.79,5.12,1.68,2.27,2.02,3.13,,,,,,
April,,,,,,2.5,1.9,2.21,3.27,3.61,4.84,1.64,1.44,1.25,,,,,,
May,,,,,,1.38,4.68,2.61,1.54,2.82,1.43,1.88,3.59,2.34,,,,,,
June,,,,,,0.54,1.34,4.85,1.52,1.43,1.69,4.1,2.57,2.47,,,,,,
July,,,,,1.19,1.78,2.07,2.8,3.92,3.49,3.72,3.73,1.66,0.72,,,,,,
August,,,,,4.27,3.7,4.3,3.08,2,2.35,2.36,1.26,6.13,1.16,,,,,,
September,,,,,2.5,2.2,1.78,0.68,5.26,2.45,0.98,0.91,1.73,2.85,,,,,,
October,,,,,1.73,5.64,4.46,5.32,0.37,4.08,3.59,3.87,2.94,0.85,,,,,,
November,,,,,2.65,5.4,7.32,1.5,2.01,2.97,6.54,5.9,2.85,1.44,,,,,,
December,,,,,2.42,0.68,3.19,1.69,1.41,3.09,2.99,3.24,2.46,3.85,,,,,,
Total,,,,,,31.19,39.64,31.1,29.46,35.42,34.89,32.79,31.25,22.63,,,,,,
,,,,,,,,,,,,,,,,,,,,
1904 Gauge moved from Wester Elchies school,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
