"CRAIGELLACHIE WESTER ELCHIES SCHOOL",,,,,,,,,,,,
Grid ref,NJ255431,Long,-3.243806,Lat,57.472018,,,,,,,
Station no,5676,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.98,2.88,1.27,2.28,1.12,1.58,1.52,1.79,1.77,2.33,,
February,3.59,3.99,1.12,3.84,2.30,2.74,3.16,2.59,2.60,1.68,,
March,2.59,2.10,2.04,1.50,0.71,3.05,3.92,1.98,3.79,5.12,,
April,1.80,1.87,1.00,2.85,1.60,2.50,1.90,2.21,3.27,3.61,,
May,0.89,1.26,4.34,2.57,2.49,1.38,4.68,2.61,1.54,2.82,,
June,2.03,3.42,2.93,1.85,,0.54,1.34,4.85,1.52,1.43,,
July,5.89,2.32,3.70,5.61,1.19,1.78,2.07,2.80,3.92,3.49,,
August,4.28,3.87,3.76,3.69,4.27,3.70,4.30,3.08,2.00,2.35,,
September,1.88,0.86,1.92,2.44,2.50,2.20,1.78,0.68,5.26,2.45,,
October,3.63,2.97,2.74,3.23,1.73,5.64,4.46,5.32,0.37,4.08,,
November,3.25,3.43,0.69,3.17,2.65,5.40,7.32,1.50,2.01,2.97,,
December,2.76,5.19,3.85,1.27,2.42,0.68,3.19,1.69,1.41,3.09,,
Total,35.57,34.16,29.36,34.30,,31.19,39.64,31.10,29.46,35.42,,
Calc annual,35.57,34.16,29.36,34.30,22.98,31.19,39.64,31.10,29.46,35.42,,
Difference,0.00,0.00,-0.00,-0.00,NaN,0.00,0.00,-0.00,0.00,0.00,,
