GOOLE (SEWAGE PUMPING STATION),,,,,,,,,,,,
Grid ref,SE748250,Long,-0.868067,Lat,53.716064,,,,,,,
Station no,3263/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.61,1.40,0.62,1.32,1.15,3.62,1.04,2.10,1.82,4.01,,
February,2.30,0.51,1.54,1.83,1.44,1.67,1.76,3.47,0.24,1.42,,
March,2.32,1.98,0.39,1.75,2.30,1.02,1.31,1.57,0.70,0.93,,
April,0.63,0.76,1.57,0.18,1.07,1.84,0.19,0.74,2.19,0.91,,
May,3.45,1.01,1.92,2.85,2.97,0.47,1.13,1.57,0.61,0.85,,
June,1.05,1.70,2.82,1.87,2.19,2.76,1.82,4.28,1.03,0.60,,
July,1.53,2.32,2.09,1.76,1.06,3.31,2.90,3.31,1.00,4.32,,
August,5.30,1.34,2.71,5.53,0.69,5.27,4.14,2.71,0.30,2.58,,
September,1.29,2.63,1.67,1.64,1.06,1.93,3.67,1.54,0.05,2.45,,
October,1.39,2.16,1.58,3.35,1.67,1.19,1.45,1.83,1.64,5.43,,
November,4.79,2.01,1.58,3.97,1.49,0.69,1.99,0.59,2.26,4.05,,
December,1.98,1.50,1.12,1.91,2.81,1.61,2.12,3.25,2.46,2.17,,
Total,27.64,19.32,19.61,27.96,19.90,25.38,23.52,26.96,14.30,29.72,,
Calc annual,27.64,19.32,19.61,27.96,19.90,25.38,23.52,26.96,14.30,29.72,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
