RUDH RE LIGHTHOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NG 740 918,Long,-5.811311,Lat,57.85863,Elevation,53,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,1.97,4.17,4.65,4.01,2.59,3.6,2.68,5.99,6.27,3.82,4.95,3.48,4.5,5.67,5.39,5.32,2.57,3.87,5.24,,,,,,,,,
February,,,3.47,2.88,4.66,2.32,1.34,0.89,4.67,1.65,5.8,1.61,3.07,3.07,1.73,2.94,2.87,1.3,2.36,0.71,0.79,4.66,,,,,,,,,
March,,,5.28,4.49,2.78,2.64,0.93,2.02,2.82,2.83,4.43,5.03,2.01,0.89,3.22,2.43,2.66,2.7,4.07,0.85,1.93,0.99,,,,,,,,,
April,,,2.9,3.44,3.3,2.79,1.23,1.52,1.24,4.56,2.35,1.88,2.89,2.26,2.36,2.3,2.17,4.52,1.96,1.63,1.66,2.4,,,,,,,,,
May,,,2.62,1.67,1.58,1.26,2.1,1.39,2.18,0.81,2.9,2.67,5.53,3.01,1.99,2.99,3.32,1.57,0.99,1.85,1.25,1.89,,,,,,,,,
June,,,2.34,3.4,1.69,0.79,3.22,1.17,2.31,4.51,1.52,1.6,2.65,1.91,3.07,1.63,1.29,2.75,2.35,2.86,2.12,3.57,,,,,,,,,
July,,,1.85,1,2.84,1.51,3.14,0.43,5.64,1.85,2.38,2.09,1.85,3.52,2.38,2.18,1.85,3.44,4.02,2.72,1.04,2.36,,,,,,,,,
August,,,3.45,1.39,3.13,1.86,2.15,2.31,5.1,2.98,2.46,3.86,2.46,2.84,4.12,3.41,3.47,2.59,1.52,4.98,4.47,1.1,,,,,,,,,
September,,,1.33,3.38,3.12,3.13,2.16,3.08,6.96,3.98,3.72,3.95,2.31,4.97,3.67,3.43,4.91,4.91,1.96,5.41,2.05,1.11,,,,,,,,,
October,,,4.11,4.79,2.28,1.25,4.66,8.73,4.23,3.45,1.77,5.11,1.92,7.8,4.81,4.02,7.7,4.5,4.53,4.72,7.12,4.25,,,,,,,,,
November,,,6.77,6.68,5.34,2.95,5.74,5.33,4.08,3.66,6.16,1.31,2.53,5.18,3.81,2.97,3.43,3.8,5.01,3.72,5.48,3.98,,,,,,,,,
December,,,6.73,4.41,4.71,3.8,3.22,3.84,4.24,3.34,4.05,7.26,5.97,4.35,6.63,4.77,2.69,0.27,3.89,5.04,4.29,3.56,,,,,,,,,
Total,,,,39.5,39.6,28.95,33.9,33.3,47.07,36.3,43.53,42.64,37.01,44.75,41.27,37.57,42.03,37.74,37.98,37.06,36.07,35.11,,,,,,,,,
