OXTON-RES,,,,,,,,,,
Grid ref,SK6483851852,Long,-1.0339858,Lat,53.059993,Elevation,413,ft,,
Station no,2617/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,3.83,3.42,1.68,3.01,2.75,4.39
February,,,,,1.37,0.49,3.08,3.16,0.21,2.42
March,,,,,2.39,0.8,2.31,1.58,1.27,1.63
April,,,,,0.91,2.02,0.29,0.63,2.8,1.05
May,,,,,3.08,0.54,1.22,2.22,0.79,1.11
June,,,,,3.12,3.71,1.73,4.35,1.1,1.63
July,,,,,0.56,2.67,3.01,4.63,1.46,3.06
August,,,,,0.42,6.93,3.53,2.03,0.75,4.12
September,,,,,0.64,2.64,5.42,2.66,0.18,3.79
October,,,,,1.41,1.08,1.07,2.41,1.99,5.62
November,,,,,1.46,0.74,2.11,0.91,2.24,3.56
December,,,,,2.06,2.14,1.56,3.47,3.6,3.28
Total,,,,,21.25,27.18,27.01,31.06,19.14,35.66
