HACKNEY CLAPTON POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ349859,Long,-0.05554,Lat,51.555862,Elevation,70,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,0.64,1.83,1.85,0.95,3.52,0.72,1.45,0.52,1.41,1.29,4.14,2.73,0.37,3.96,1.19,1.18,3.06,2.84,2.24,2.06,2.52,1.08,2.78,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,1.14,0.53,2.43,0.65,1.68,0.75,1.35,0.41,2.28,1.34,1.66,0.68,2.24,2.96,3.11,0.8,0.98,2.48,0.51,0.22,1.77,2.78,0.57,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,1.65,1.55,1.44,2.48,0.71,0.85,1.97,2.37,0.86,1.64,2.43,2.06,4.18,0.89,3.93,1.84,0.86,2.96,1.35,1.09,1.28,2.19,0.53,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,0.44,1.6,0.92,1.72,0.65,2.99,2.15,1.81,2.01,1.57,0.02,2.58,0.83,1.14,1.27,2.4,3.02,2.99,2.9,1.15,2.65,1.34,2.87,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,2.17,1.28,1.76,0.61,1.53,1.95,1.67,1.59,2.32,1.13,0.92,1.36,2.04,3.52,1.78,2.34,2.74,0.36,0.44,1.03,0.67,2.02,2.78,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,2.94,4.95,0.85,3.54,3.01,1.98,1.25,4.26,1.63,3.01,3.06,0.38,1.55,0.85,2.01,2.15,0.93,1.63,1.65,0.53,1.17,0.38,2.43,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,1.14,5.47,1.76,0.73,0.71,2.21,3.19,3.11,1.65,0.48,1.53,2.28,1.38,4.48,2.12,4,6.65,1.77,3.3,0.19,3.58,2.28,4.25,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,3.66,4.17,1.57,1.92,0.8,1.85,2.79,1.61,2.05,0.43,4.68,1.54,1.1,2.61,5.75,3.93,1.36,2.17,1.66,1.58,2.35,1.98,2.45,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,0.5,2.12,1,1.86,1.74,0.87,1.69,2.32,0.57,1.52,2.06,1.87,0.95,1.92,1.23,1.65,5,0.99,2.96,2.29,2.01,0.94,2.51,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,1.3,5.36,1.29,1,2.99,2.28,1.78,4.1,1.85,2.85,1.8,3.58,1.06,1.98,2.92,3.15,1.06,0.68,0.74,0.9,0.92,5.03,3.39,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,0.91,1.53,1.57,2.23,3.74,2.02,0.51,0.71,3.41,3.41,1.5,2.22,2.89,2.34,4.54,1.63,1.87,1.26,1.08,1.87,1.41,1.44,2.57,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,1.21,1.1,1.19,0.64,2.28,3.47,1.55,2.57,3.18,5.39,2.41,0.71,6.07,5.56,2.49,0.86,2.19,3.19,1.96,1.14,2.93,1.86,3.26,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,17.7,31.49,17.63,18.33,23.36,21.94,21.35,25.38,23.22,24.06,26.21,21.99,24.66,32.21,32.34,25.93,29.72,23.32,20.79,14.05,23.26,23.32,30.39,23.44,,29.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
