HACKNEY CLAPTON POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ349859,Long,-0.05554,Lat,51.555862,Elevation,69,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,1.19,1.18,3.06,2.84,2.24,2.06,2.52,1.08,2.78,1.8,2.46,1.34,3.54,0.65,2.25,1.17,1.34,1.04,1.24,1.04,3.83,3.36,2.65,4.71,2.41,2.73,2.48,4.92,1.66,2.54,1.56,1.79,3.46,0.72,0.95,2.64,1.73,0.84,1.17,2.67,3.74,1.5,2.53,1.97,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,3.11,0.8,0.98,2.48,0.51,0.22,1.77,2.83,0.57,2.77,3.19,3.09,1.5,0.25,1.06,1.74,0.15,1.14,0.16,2.1,1.4,4.15,0.63,0.86,1.49,2,1.02,1.35,0.69,1.58,2.7,1.67,1.58,0.86,3.55,5.25,0.79,1.48,2.28,1.68,0.4,3.12,2.54,0.05,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,3.96,1.84,0.86,2.96,1.35,1.09,1.28,2.19,0.53,0.53,0.29,2.33,1.17,0.01,1.33,0.24,1.36,1.92,1.92,0.38,1.16,2.83,0.28,1.27,3.47,2.87,1.69,0.37,0.09,0.76,1.37,5.68,0.66,0.85,0.75,3.12,2.68,0.45,2.41,1.06,0.99,1.06,1.26,2.21,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,1.26,2.4,3.01,3.16,2.91,1.14,2.65,1.34,2.87,1.71,3.49,1.98,0.83,1.01,1.38,3.15,2.02,0.63,1.94,2.9,1.31,2.57,0.15,2.44,1.78,1.68,0.78,1.22,1.41,0.92,1.16,1.67,1.45,1.6,2.15,2.76,1.23,2.39,0.35,0.39,1.27,0.23,1.72,1.93,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,1.79,2.34,2.78,0.36,0.44,1.03,0.67,2.02,2.78,1.38,1.39,1.2,1.65,1.08,2.83,2.59,3.12,1.72,0.43,1.21,0.43,3.59,1.58,1.46,1.6,1.83,2.42,1.67,0.79,3.96,3.08,0.92,2.75,1.66,1.62,1.9,0.99,1.25,1.81,4.39,0.67,1.34,2.43,0.76,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,2.01,2.14,0.93,1.63,1.65,0.53,1.17,0.38,2.43,0.12,3.04,2.52,1.67,0.99,2.38,1.28,0.64,1.63,1.19,3.04,3.39,1.85,0.32,1.48,0.62,1.6,0.29,1.54,2.07,1.67,2.86,2.54,2.35,0.72,1.29,1.15,1.97,1.41,3.53,2.23,2.5,0.75,5.25,0.89,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,2.12,4.02,6.69,1.77,3.3,0.19,3.58,2.32,4.24,3.78,2.14,3.3,1.66,1.62,1.69,2.44,2.13,0.84,0.95,1.25,2.87,0.81,1.63,1.85,2.88,3,1.46,1.97,1.36,2.66,1.97,2.03,1.01,2.24,3.09,1.53,0.71,4.54,2.85,0.45,4.93,3.61,2.11,1.42,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,5.75,3.93,1.36,2.17,1.66,1.58,2.38,1.99,2.45,2.57,2.22,3.76,2.34,1.7,2.69,4.57,2.27,0.5,2.11,1.91,0.5,1.43,1.28,3.43,0.05,4.96,1.61,1.42,2.3,1.6,3.72,0.03,3.41,1.1,2.01,4.07,2.41,2.07,3.27,1.24,4.68,1.98,3.31,4.22,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,1.23,1.65,5,1,2.96,2.29,2.01,0.94,2.51,1.9,1.04,4,0.63,0.25,3.18,1.87,2.72,2.95,1.27,2.92,2.59,1.74,3.42,1.5,1.09,0.68,1.33,2.1,3.18,1.64,2.67,1.39,1.24,0.35,2.33,3.22,2.99,1.92,1.9,2.11,2.66,2.41,3.8,0.09,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,2.92,3.13,1.06,0.68,0.74,0.9,0.92,5.04,3.39,2.87,2.1,1.18,3.09,2.86,0.83,0.66,4.95,1.46,1.15,3.12,1.72,2.32,2.64,5.69,2.52,0.83,4.19,2.62,3.34,1.98,1.52,0.09,1.82,5.51,0.42,0.94,2.7,3.16,2.5,2.99,2.39,2,2.43,1.85,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
