CHESTER-CURZON-HOUSE,,,,,,,,,,
Grid ref,SJ396653,Long,-2.9052415,Lat,53.181355,Elevation,78,ft.,,
Station no,RR6196,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,1.34,2.64,0.77,,,
February,,,,0.98,1.87,2.78,2.6,,,
March,,,,3.15,2.43,1.12,2.07,,,
April,,,,3.36,0.5,1.21,1.4,,,
May,,,,2.72,2.01,1.94,,,,
June,,,,1.79,2.11,0.69,,,,
July,,,,1.29,4.36,3.02,,,,
August,,,,2.37,2.07,4.27,,,,
September,,,,1.33,2.14,0.69,,,,
October,,,,2.48,1.47,1.81,,,,
November,,,,2.06,3.09,2.98,,,,
December,,,,1.65,4.91,4.92,,,,
Total,,,,,28.3,28.07,,,,
,,,,,,,,,,
NGR is in Curzon Park with stated relationships to church and station and matching altitude.,,,,,,,,,,
"Gauge moved 1.75 mile NE in 1916 to Woodville, Abbots Park",,,,,,,,,,
