BREACHWOOD-GREEN-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL153220,Long,-0.32593,Lat,51.8854,Elevation,489,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,964/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.89,1.68,1.95,1.2,3.37,4.36,3.65,5.52,2.1,2.42,2.63,4.2,1.62,2.88,1.7,1.94,4.45,1.04,0.84,3.03,1.95,1.47,,,,,,,
February,,0.38,2.14,0.69,2.76,1.89,3.65,0.54,0.75,1.23,2.1,1.25,1.16,1.12,1.6,2.22,2.46,1,1.09,3.86,4.02,0.64,1.91,,,,,,,
March,,1.95,2.26,2.4,0.47,1.13,3.61,0.53,1.91,2.33,2.87,1.3,0.59,0.32,0.5,1.56,5.78,0.84,1.13,0.61,3.32,3.13,0.71,,,,,,,
April,,2.22,1.16,1.38,2.89,1.23,3.72,0.09,3.3,1.54,1.31,1.2,1.05,1.96,1.26,0.92,2.03,1.65,1.51,1.88,3.04,1.69,2.24,,,,,,,
May,,5.5,2.64,0.79,2.29,0.67,3.55,1.93,1.63,2.49,2.26,2.85,2.19,1.16,2.24,2.13,1.12,2.67,1.39,2.25,2.55,1.82,1.68,,,,,,,
June,,0.71,1.56,1.76,3.11,4.78,2.26,0.77,2,0.99,1.03,0.36,2.15,1.87,2.05,2.37,1.59,3.41,0.56,1.33,0.74,0.92,2,,,,,,,
July,,2.4,0.69,0.39,1.84,5.27,1.65,2.17,3.8,2.12,3.88,2.24,1.15,1.44,2.6,2.06,1.19,1.01,0.66,5.26,1.22,0.47,3.43,,,,,,,
August,,2.84,0.66,1.86,1.86,0.28,2.4,4.62,1.31,0.31,4.52,2.21,1.9,2.17,1.53,3.99,0.02,2.76,1.61,2.79,3.69,3.12,1.83,,,,,,,
September,,1.84,2.14,1.53,3.35,3.36,2.74,1.49,0.57,0.8,0.61,1.37,1.57,2.77,2.11,3.68,0.97,1.72,0.33,3.01,2.86,3.27,2.27,,,,,,,
October,,4.63,1.44,1.88,1.92,1.73,2.61,3.37,4.25,3.57,1.39,3.72,2.96,3.72,2.36,1.65,0.19,2.72,4.95,0.26,1.08,2.61,3.06,,,,,,,
November,,1.81,1.48,1.95,4.78,3.58,1.83,3.04,4.39,7.11,2.54,1.85,1.3,3.51,0.96,5.98,1.08,1.61,2.69,5.06,4.87,4.57,1.3,,,,,,,
December,,0.65,0.54,5.16,2.83,2.16,3.05,3.87,1.46,1.42,1.27,2.69,0.98,1.3,3.11,2.09,2.64,2.47,1.34,1.18,1.85,2.99,0.46,,,,,,,
Total,,26.82,18.39,21.74,29.3,29.45,35.43,26.07,30.89,26.01,26.2,23.67,21.2,22.96,23.2,30.35,21.01,26.31,18.3,28.33,32.27,27.18,22.36,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved 1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
