LAKE VYRNWY HOEL Y FRIDD 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH976215,Long,-3.519629,Lat,52.781335,Elevation,830,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,8.64,6.85,7.54,11.96,8.7,5.15,14.3,2.85,7.1,5.89,10.31,4.29,6.46,10.01,10.42,10.69,10.09,3.28,6.85,8.26,12.5,12.77,6.9,7.01,6.49,11.15,10.92,9.31,16.19,2.79,11.23,7.31,11.93,6.66,9.23,2.66,8.56,9.97,14.52,11.14,3.04,3.57,9.34,12.54,13,8.26,13.75,7.5,22.16,5.25,4.15,7.8,11.25,2.65,7.15,5.68,9.8,12.4,7.63,8.7,10.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,7.7,1.7,1.88,10.21,8.69,5.26,10.57,5.82,6.1,2.44,10.57,9.43,5.37,5.18,9.9,11.07,8.44,1.36,11.5,2.85,9.2,0.28,10.77,14.82,1.05,12.85,7.18,4.79,12.92,0.84,0.74,9.05,0.02,6.87,0.39,12.93,2.84,12.32,3.93,7.11,6.3,6.89,1.97,5.48,,11.34,14.92,2.75,7.78,4.09,14.75,9.9,2.25,3.75,7.2,3.92,0.8,7.55,11.45,0.92,7.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,1.21,9.31,4.09,13.87,3.23,11.1,10.8,4.98,7.84,5.11,2.64,3.73,11.9,12.69,9.95,2.16,2.79,4.43,2.82,9.39,7.41,8.95,5.28,4,3.1,2.43,2.93,7.11,4.44,1.18,3.9,1.18,4.89,4.61,6.33,2.64,5.21,3.06,2.2,4.36,5.24,4.92,3.8,2.36,1.18,3.18,3.15,12.8,5.47,2.7,4.6,8.25,4.7,5.6,7.2,3.7,3.95,8.05,2.4,4.6,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,4.36,6.46,2.16,2.82,7.08,5.23,1.8,3.67,4.62,6.54,5.91,4.82,0.84,8.46,3.01,3.34,5.7,2.95,2.08,5.14,10.52,2.14,3.77,6.03,5.7,4.33,3.47,3.77,3.1,1.8,4.07,5.84,8.82,2.03,4.03,7.44,2.52,3.85,0.25,3.38,5.57,2.19,4.95,3.18,2.72,4.71,1.49,6.77,4.35,9.2,7.75,6.75,3.7,4.7,2.15,3.7,1.95,0.56,2.1,6.45,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,4.18,1.49,5.31,5.08,3.26,3.19,6.14,4.07,4.85,2.77,3.29,2.7,3.11,3.97,4.52,3.14,4.1,3.51,4.18,2,7.39,3.11,1.89,5.74,9.3,8.36,4,2.52,1.3,3.57,3.16,7.07,3.71,1.48,4.26,1.31,1.79,2.12,4.59,1.28,2.62,4.56,6.54,7.25,4.1,5.14,2.45,4.15,3.55,5.25,1.9,3.5,3.97,3.3,5.84,,1.85,3.22,7.2,1.98,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,5.91,3.38,4.36,1.23,3.15,4,2.67,8.92,4.54,3.57,4.23,4.85,7.7,6,2.44,0.85,3.7,3.41,2.67,3.11,3.56,0.33,3.23,2.17,3.73,0.02,3.34,7.49,7.44,3.37,3.13,5.15,1.59,2.97,2.9,6.3,6.48,3.64,7.1,4.26,1.25,0.7,0.46,7.37,5.3,7.38,7.6,4.65,7.45,2.2,2.9,2,3.85,3.08,5.4,6.63,4.35,1.95,4.3,4.05,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,2.55,3.05,2.78,4.43,2.84,2.6,2.08,4.87,5.66,5.11,5.24,1,7.3,0.75,5.31,6.07,3.36,3.11,6.9,1.6,9.87,4.75,6.91,4.79,7.41,1.92,5.14,4.03,3.16,3.93,5.75,4.3,4.76,4.84,1.34,2.23,8.72,3.08,6.1,10.66,4.43,2.62,5.18,3.46,4.52,3.11,2.48,4.45,3.55,2.3,7.62,3.1,2.75,9.3,6.9,1.46,8.02,11.55,5.7,6.78,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,9.18,5.72,5.05,11.07,7.06,7.71,7.08,7.02,5.11,2.77,8.2,5.67,8.62,3.39,5.28,4.95,3.33,12.37,3.13,5.56,3.46,6.9,4.36,9.82,7.46,4.89,6.95,11,7.16,6.64,7.28,6.95,2.2,1.77,5.93,1.72,2.13,1.8,4.82,3.51,1.31,8.43,7,8.62,3.34,5.9,10,0.67,8.15,4.25,10.65,7.75,6.05,6.52,6.2,2,9.7,9.5,5.18,0.8,6.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,2.9,2.78,2.95,9.56,2.43,3.76,1.88,1.05,6.95,4.64,0.49,5.75,1.97,3.74,3.28,1.72,4.07,3.54,15.03,4.75,3.67,2.47,5.34,7.28,8.08,5.28,4.13,7.15,1.72,2.72,7.26,3.25,7.1,1.2,5.74,11.66,6.36,2.16,2.13,1.11,5.8,1.77,5.18,7.21,7.58,4.62,10.6,3.58,5.64,2.3,14.65,7.2,4.55,7.88,10.95,2.7,6.15,10.52,11.05,0.59,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,10,5.01,6.47,18.58,4.43,5.28,11.14,8.84,2.93,12.29,5.7,6.83,8.59,5.36,2.21,3.44,16.44,10.6,7.84,3.62,3.13,4.8,2.48,12.97,8.95,8.98,6.91,10.7,10.79,8.93,11.03,2.43,10.89,7.25,8.13,12.75,6.56,3.83,15.25,3.44,10.16,7.8,7.13,6.56,10.49,12.49,2.75,1.72,4,11.6,5.75,2.65,13.7,3.28,17.6,4.38,4.7,8.25,5.04,9.13,7.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,,6.77,8.42,4.46,5.34,5.11,8.02,7.37,4.3,5.82,3.51,8.13,11.3,7.8,10.49,11,4.31,7.05,6.79,5.18,5.97,5.03,4.6,3.79,8,6,3.74,12.26,8.3,16.95,16.61,10.56,13.6,6.06,1.85,2.66,8.43,8.66,2.3,10.69,12.98,14.03,4.62,1.11,5.93,12.98,0.56,13.2,11.48,5.45,11.05,8.1,13.05,4.9,9.55,13.8,4.05,4.2,3.68,2.7,7.18,15.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
