"ROSS PERRYSTONE COURT",,,,,,,,,,,,
Grid ref,SO624294,Long,-2.548631,Lat,51.961801,,,,,,,
Station no,2222,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,1.40,0.88,3.00,2.89,1.26,3.33,1.45,0.55,0.75,,
February,,0.80,1.07,1.56,4.28,0.77,1.73,0.73,0.75,0.44,,
March,,1.86,1.33,3.18,1.47,2.73,1.18,0.56,2.64,2.41,,
April,,2.35,2.14,2.08,1.03,2.95,1.15,2.67,3.08,2.36,,
May,,1.13,2.00,4.80,1.84,0.49,2.28,2.14,1.32,0.86,,
June,,2.24,3.47,2.82,0.98,3.72,2.71,1.80,1.28,2.32,,
July,,2.61,0.91,2.71,1.82,0.72,0.47,2.41,1.37,1.17,,
August,,1.65,4.33,3.43,1.73,3.84,0.91,2.23,2.90,2.13,,
September,,1.50,1.72,3.40,2.48,1.24,0.34,0.66,2.05,2.82,,
October,,0.97,3.41,5.94,0.44,1.79,4.42,7.92,1.75,3.46,,
November,,0.65,2.46,0.83,1.36,4.28,2.32,2.07,1.18,0.71,,
December,,3.86,1.31,1.83,1.83,0.54,1.92,3.27,2.20,3.87,,
Total,29.50,21.02,25.03,35.58,22.15,24.33,22.76,27.91,21.07,23.30,,
Calc annual,0.00,21.02,25.03,35.58,22.15,24.33,22.76,27.91,21.07,23.30,,
Difference,29.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
