GREENOCK W.W. (DUCHAL MOOR) (NEW GAUGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS282667,Long,-4.746788,Lat,55.862774,Elevation,1150,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,8.7,12.5,9.9,11.9,4.2,8.1,13.3,12.9,6.5,5.2,3.2,11,10.4,11.1,4.2,12.6,10.1,11.9,8.7,6.5,7.1,8.4,5.9,9,6.5,5.6,10.3,9.6,3.5,6.7
February,5.3,0.1,8.9,2.2,9.7,5.2,8,5.7,12.4,3.5,9.8,2.5,10.1,4.1,11,6.5,2,8.3,9.9,8.3,5,3,4.9,8,5,2.9,6.2,5.2,2.9,7.9
March,2.9,3.8,5.3,4.8,3.7,6.9,2.1,11,6.7,9,5,7.6,4.8,2.3,5.9,4.5,5,8.5,4.9,5.4,5.3,6.7,2.5,6.8,2.8,4.2,8.9,2.4,5.2,4.6
April,4.1,7.1,5.1,5.1,5.4,2.5,5.1,1.7,5.2,5.1,4.8,4.1,7.6,5.3,3.4,5,11.2,5.4,9.9,5.2,4.9,4.1,4.5,4.7,5.8,2.2,3.5,3.5,5.1,8.7
May,6.9,4,5.3,5.3,1,3.8,2.7,5.5,2.7,1.5,3.5,5.8,4.9,6.9,7,1.9,6.9,3.1,4.1,2.5,2.9,2.9,4.1,5.4,5.4,4.3,3.3,5.9,1.9,5
June,11,3.8,3.8,4.6,6.5,3.1,5.7,10,3.5,2.4,2.9,3.5,6.4,7.2,7.1,6,5.4,8.2,1.9,3.8,2.9,5.1,2.1,7.8,5.4,5.3,3.5,5.3,5,4.5
July,7.3,7,6.2,5.6,3.5,9.8,6.7,7.7,9.2,5,5.6,7.5,3.8,7.9,6.7,5.8,7.6,8,3.3,7.5,5,5.8,7.4,6.7,2.1,8.3,8.9,9.1,8.9,7.5
August,4.1,5.3,6.3,8.4,3.8,6,5,5.5,3.1,5.4,8.1,10.8,12.7,5.3,4.6,4.3,0.1,10.6,6.9,8.6,6,9.1,6.6,8.5,2.6,8.3,7.5,7.3,2.5,4.8
September,3.7,7.6,1.2,10.3,10.7,7.2,6.7,9.4,5,8.7,3.4,11.3,7.7,9.5,9.2,12.3,8.7,9.8,3.9,14.6,6.9,6.6,11.2,11.7,7.4,7.4,5.8,6.9,1.6,4.2
October,9.2,10.1,4.6,11.3,17.9,9.9,4.8,17.1,5.8,10.5,8.8,12.5,15,10.1,11.2,1,4.5,11.9,9.7,8.6,2.7,10.2,6.2,14.6,7.2,3.9,8.9,7.1,8.8,5.3
November,13.4,6.3,4.6,3.9,8.8,7.3,2,15.9,15.1,12.1,9,2.1,5.4,11.2,1.9,10.9,11.1,7.9,9.9,6.1,9.9,3.5,13.8,13.2,4.5,4.4,3.9,3.4,9.5,9
December,8.9,15,2.6,13.8,6.2,14.3,4.9,8.8,5.7,12.1,7.1,14.8,5.1,9.8,8,9.1,5,10,14.1,2.9,12.8,7.8,8.9,10.3,11.7,10.8,9.2,9.8,13.6,9.2
Total,85.5,82.6,63.8,87.2,81.4,84.1,67,111.2,80.9,80.5,71.2,93.5,93.9,90.7,80.2,79.9,77.6,103.6,87.2,80,71.4,73.2,78.1,106.7,66.4,67.6,79.9,75.5,68.5,77.4
