GREENOCK W.W. (DUCHAL MOOR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS282667,Long,-4.746788,Lat,55.862774,Elevation,1150,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,7.5,1.5,4,2,5.9,9.9,9.5,4.7,7.9,11.2,7.9,5.2,9.2,4.9,8,8.1,9,8.3,8.4,8.1,7.1,7.1,9.15,3.3,7.1,5.4,9.9,14.7,6.9,10.5,8.1,8.9,12.1,11.9,16.1,3.1,11.4,7.9,13.2,,,,,,,,
February,,,,,10.2,0.5,4.3,5.9,6.6,4.2,3.1,2.6,2.3,12.3,6.3,4.9,3.4,4.4,5,4.5,9.5,15.1,8.5,4.7,8.4,9.5,8,1.5,11.5,3.1,8.7,3.1,6,6.2,2,5.4,8.5,4.9,6.8,3.1,0.8,4.6,0.1,,,,,,,,
March,,,,,3.7,5.3,8.4,6.3,3.6,5.3,0.4,3.8,6.5,12,4.4,8.2,4.4,6.2,7.7,3.3,4.6,2.5,11.9,7.7,8.4,4.2,4,2,3.5,5.1,9.6,12,2.6,2.8,1.8,3.4,8.4,6.3,6.4,1.2,5.7,2.3,3.4,,,,,,,,
April,,,,,3.9,4.7,3.5,4.3,4.7,6,4.2,5.5,3.6,2.6,6.9,3.9,2.5,4.6,2.5,6.5,6.6,6.5,3,7.2,5.3,5.3,-999,2.4,1.3,3.3,3.7,2.7,4.5,4.7,5.7,9.6,3.2,6.9,3,2.3,2.2,3.9,6.5,,,,,,,,
May,,,,,5,0.1,1,3.5,2.8,5.3,5.9,2.5,3.6,5,3.6,2.5,9.2,8.4,4.5,5.1,4.3,6.3,3.5,4.2,3.5,1.7,7.6,5,4,1.4,7.3,4.9,6.2,3.1,6.3,10.1,4.2,5,2.2,6.2,2.5,6.5,4.1,,,,,,,,
June,,,,,4,2.3,6.7,8.5,4.5,3.2,4.8,3.9,2,3.4,5.6,2.3,2.7,7.3,4.5,5,2.3,5.8,9.2,6.2,1.7,2.5,3.1,4.2,2.1,5.3,2.7,1,3.5,2.3,3.2,1.7,4.7,6,8.7,4.4,2.9,9.2,3.3,,,,,,,,
July,,,,,4.1,6.5,7.3,3.9,2.7,5.9,5.3,2.7,7.1,7.9,4.4,4.6,4.3,3.8,7.1,9.9,6.4,5.2,4.1,1.6,2.7,4.3,3.1,3.1,5.1,1.5,6.5,6,3.4,6.1,5.3,3.1,2.5,6.6,5.1,7,4.2,6.4,5.7,,,,,,,,
August,,,,,6.4,8.5,3.8,8.3,9.6,2.7,7.2,9.2,5.2,13,7.4,7.7,7.2,9.9,6.5,5.2,8.8,7.3,9,2.3,5.9,5.1,4.8,5.9,7.4,4.1,8.2,8.9,4.9,9.4,6,5.3,4.6,8,6.5,8.1,8.5,4.1,4.7,,,,,,,,
September,,,,,0.3,3.1,7.6,6.7,9.4,7.1,7.6,6.7,6.4,6.2,9.1,5.5,3.2,2.6,12.7,3.7,3,4,5.1,3.7,3.7,2.3,3,5.7,9.2,5.7,3.9,3.9,4.4,13.4,10.2,5.8,5.2,10.7,5.8,3.7,5.1,3,7.2,,,,,,,,
October,,,,,5.8,6,5.5,4.1,5.2,6.9,9.9,7.6,5.5,14.7,4.5,5.4,10,8.9,3.6,11.4,5.1,7.4,11.1,6,5.6,5.5,10.2,11.8,11.2,1.3,5.2,7.4,3.1,11.1,5.7,8,9.5,7.1,12.5,10.3,12.7,9,9.7,,,,,,,,
November,,,,,7.2,8.9,3.3,5.2,6.1,9.4,7.3,7.7,9,6.5,5.1,9,7.1,7.7,6.3,5.3,5.7,10.2,6,9.3,9.1,4.8,9.7,12.3,9.5,5.5,7.4,4.6,5.1,5.9,9.4,1.7,9.3,7.1,12.2,11.1,10.1,12.5,5.9,,,,,,,,
December,,,,,5.8,6.5,8.2,7.2,10.5,5.9,11.6,6.3,9.1,6.9,6.1,6.6,6.5,10.2,7.9,9.5,13.1,16.3,13.9,5.4,10.8,7.9,7.2,4.1,9,11.1,7.6,10.3,6.3,6.3,12.7,5.3,5.7,2,7.9,17.3,8.1,8.3,14.7,,,,,,,,
Total,,,,,63.9,53.9,63.6,65.9,71.6,71.8,76.8,63.2,68.2,101.7,71.3,65.8,69.7,78.9,76.3,77.5,78.4,94.9,93.7,66.4,72.2,60.2,75.55,61.3,80.9,52.8,80.7,79.5,56.9,81.8,76.4,68.3,77.9,82.5,93.2,77.8,74.2,77.7,78.5,,,,,,,,
