GLASGOW (SPRINGBURN PARK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS610685,Long,-4.224092,Lat,55.889512,Elevation,351,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,1.09,2.29,1.77,3.07,5.31,4.47,2.58,2.86,4.86,3.31,1.98,3.79,3.02,2.85,4.12,4.28,2.72,2.77,3.81,2.88,2.5,5.12,2.37,4.45,3.72,4.89,,,,,,,,,,,4.9,6.61,4.12,3.85,4.26,4.62,4.86,5.05,8.72,1.28,4.92,3.4,7.07,3.76,4.34,1.95,4.16,3.53,5.62,4.17,2.67,0.76,5.91,4.36,4.29,3.59,4.91,3.87,6.13,3.72,2.86,5.23,4.55,1.43,5.47,3.1,2.8,5.53,3.64,1.41,3.49
February,,,,,,0,2.35,3.07,2.18,1.96,2.28,1.9,1.14,4.9,1.87,2.02,2.1,2.59,1.98,1.63,3.91,6.25,3.31,3.14,3.2,4.07,4.18,1.06,4.81,1.01,5.18,,,,,,,,,,,5.19,1.16,3.32,3.85,0.91,2.98,4.77,2.73,4.24,1.59,0.28,3.9,0.07,3.07,0.55,4.28,1.89,4.4,1.71,5.01,1.48,3.17,1.69,4.63,1.73,5.74,2.85,1.5,4.01,4.05,4.45,2.7,1.7,1.38,3.48,2.05,1.4,3.25,2.94,1.7,3.2
March,,,,,,2.96,4.56,3.43,1.64,2.78,0.42,2.11,2.12,5.74,1.34,2.95,3.15,4.48,3.92,2.25,2.16,1.78,4.12,3.88,4.68,1.61,2.28,2.22,1.56,2.96,3.92,,,,,,,,,,,3.92,5.59,1.47,1.37,0.8,2.06,2.78,3.32,3.07,0.99,2.47,1.17,2.2,2.3,2.65,1.99,3.19,1.07,2.85,3.11,4.96,3.46,2.27,2.05,0.98,3.09,2.41,3.07,3.1,2.07,3,2.82,2.31,0.96,2.37,1.55,2.59,4.58,1.23,1.6,2.25
April,,,,,1.81,1.97,2.63,1.64,2.05,3.33,2.27,2.51,0.65,0.82,3.97,2.31,1.15,1.02,0.96,3.92,3.98,2.53,1.81,3.2,2.58,2.46,3.56,1.25,0.62,1.76,1.77,,,,,,,,,,,1.76,0.98,1.65,3.57,2.46,4.37,2.95,2.86,1.35,1.13,1.39,1.87,3.64,2.26,3.07,2.53,1.05,1.92,0.68,2.05,2.66,1.98,2.65,3.09,2.3,2.14,1.55,5.19,3.21,3.76,3.14,2.11,2.29,1.83,1.75,1.69,1.08,2.1,1.33,2.16,2.83
May,,,,,3.66,0.73,0.94,1.93,2.19,3.61,2.02,1.5,1.79,1.74,3.1,1.48,3.46,3.22,2.36,2.49,1.98,1.65,1.62,3.45,2.17,1.39,4.2,3.32,2.62,0.82,4.83,,,,,,,,,,,4.84,2.11,3.55,2.27,4.67,6.82,3.34,2.34,2.16,2.72,1.83,4.78,3.19,2.48,2.69,0.56,1.2,2.16,4.36,1.21,1.61,3.28,3.03,3.88,3.19,4.34,1.36,4.83,1.54,2.13,1.28,1.81,2.16,2.31,3.54,3.48,2.03,3.04,3.47,1.22,3.2
June,,,,,3.63,2.43,4.72,5.14,2.56,1.61,2.32,3.22,2.06,2.35,1.54,1.34,1.66,4.32,1.71,3.68,2.35,2.17,5.21,3.27,0.74,2.06,3.21,3.39,1.01,4.16,,,,,,,,,,,,1.93,0.48,2.19,1.14,2.99,0.64,2.36,5.53,5.51,2.94,3.21,5.34,1.07,1.83,2.39,6.04,2.27,3.28,5.33,1.96,0.78,1.23,1.75,3.79,3.1,4.43,3.31,3.36,4.89,1.19,2.45,2.27,2.94,2.57,3.57,2.55,3.11,2.41,3.04,2.8,2.61
July,,,,,3.08,4.34,3.93,2.1,1.75,4.11,2.69,1.44,2.88,3.71,2.73,2.61,1.95,3,2.13,4.02,4.98,2.5,2.44,1.44,2.39,4.1,3.81,3.21,4.02,1.22,,,,,,,,,,,,4.73,3.97,3.3,4.5,3.71,2.16,3.69,4.88,2.81,3.23,3.55,4.8,3.29,3.98,2.87,2.36,4.66,3.16,5.2,4.38,5,3.6,2.34,3.02,3.33,3.26,3.79,2.63,3.17,2.36,6.11,4.21,3.06,5.3,3.32,1.23,5.88,3.51,5.82,5.23,4.07
August,,,,,6.49,6.86,1.94,5.1,4.73,1.36,3.99,3.85,2.37,5.66,3.37,3.15,4.89,5.39,1.83,3.77,6.62,1.47,3.49,1.5,4.24,2.2,3.4,4.22,3.23,2.8,,,,,,,,,,,,5.92,6.23,2.81,6.01,3.92,3.79,3.8,6.74,3.7,6.93,6.52,2.56,1.96,3.08,5,2.8,4.18,3.5,2.74,1.71,2.24,5.09,4.5,6.98,3.53,2.42,3.4,0.02,6.61,4.66,5.01,4.37,3.9,3.65,6.34,1.15,4.98,4.1,6.49,0.68,4.17
September,,,,,0.19,1.72,4.26,3.76,3.83,3.47,3.69,2.03,2.68,3.78,2.09,2.04,1.74,1,4.4,2.11,1.98,2.73,3.36,2.56,2.08,1.83,1.13,2.3,6.02,2.7,,,,,,,,,,,,3.12,2.01,2.66,5.79,4.09,3.57,3.71,5.74,3.34,1.7,4.06,1.45,3.91,0.98,5.08,5.39,4.42,2.4,3.82,2.29,4.02,1.72,5.34,2.32,5.52,5.21,6.77,4.4,6.6,2.1,9.33,3.31,2.62,3.52,5.31,3.72,5.1,2.92,3.76,1.38,2.41
