BRUSHFORD-NURSERIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS925258,Long,-3.534079,Lat,51.02149,Elevation,430,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,6.46,1.66,5.7,8.7,1.75,5.52,2.92,1.82,6.14,6.27,7.36,4.24,5.33,4.07,5.62,4.54,7.6,6.48,7.16,1.57,6.8,4.64,6.09,2.7,4.59,1.29,5.47,8.29,7.04,8.91,3.36,4.68,5.57,8.68,5.39,4.16,4.41,4.55,10.98,2.31,1.82,6.93,6.89,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,6.91,3.59,3.46,1.37,4.27,6.74,9.31,1.35,3.1,4.67,2.19,0.22,5.43,10.97,0.59,6.61,3.41,4.54,5.57,1.75,1.43,3.86,0,4.75,0.51,5.52,2.47,8.25,2.25,2.58,3.78,4.64,0.55,3.2,1.78,5.31,6.07,1.29,2.88,2.77,9.29,6.15,1.11,3.53,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,0.85,2.41,8.01,6.27,8.81,0.81,4.09,3.21,1.84,6.16,4.13,3.09,3.88,1.64,1.63,1.25,1.04,5.27,3.8,0.4,2.76,1.18,3.29,3.64,3.31,1.89,3.41,5.27,0.58,1.97,3.27,5.51,2.99,1.68,0.38,1.48,1.41,6.04,2.32,2.12,1.95,4.92,3.02,1.76,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,3,2.67,0.35,4.26,2.47,1.71,2.28,2.47,2.69,3.54,5.84,1.3,4.59,3.38,4.61,3.28,2.56,2.62,1.72,0.81,3.62,3.97,4.19,1.36,3.71,5.81,2.26,3.54,0.35,3.75,3.5,1.16,1.85,1.31,2.62,1.45,3.49,4.07,3.13,2.66,3.27,3.4,3.63,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,2.97,1.59,2.16,3.79,2.43,2.63,3.73,1.84,1.17,1.38,2.27,2.19,1.34,2.37,4.63,5.41,3.16,1.09,1.07,3.27,2.61,4.34,3.24,2.93,1.97,1.99,0.81,1.97,3.11,1.03,1.68,2.18,6,3.42,1.48,4.58,4.34,3.68,3.34,3.81,2.03,2.82,3.35,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,3.09,2.62,5.75,1.97,3.21,1.75,2.55,5.94,1.5,0.98,3.21,0.52,1.41,0.64,2.94,0.13,2.53,3.42,3.09,3.32,0.71,3.25,1.36,1.67,2.95,2.62,2.32,1.08,2.09,2.87,0.93,1.51,0.66,2.17,3.71,4.58,3.72,3.23,2.37,0.64,2.3,1.62,1.86,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,4.37,0.34,2.96,0.57,5.69,5.23,1.68,2.39,6.3,1.48,5.57,1.15,4.37,3.27,6.52,3.78,1.65,4.37,2.27,2.68,3.31,4.33,4.53,1.83,1.03,0.59,7.39,1.91,3.42,8.81,4.94,1.91,2.07,3.05,3.51,2.93,2.52,2.44,2.46,2.52,5.57,1.78,1.34,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,6.25,1.34,11.19,1.76,3.56,2.54,4.78,7.37,3.8,2.53,1.82,1.94,5.15,3.98,6.23,4.13,2.83,4.35,2.54,3.68,4.34,5.14,2.88,1.3,4.11,2.48,0.9,1.13,4.92,3.79,0.3,6.37,5.23,4.53,2.93,2.15,5.76,0.95,5.39,3.01,6.94,4.22,5.06,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,0.24,2.23,1.58,2.01,3.13,1.34,3.27,2.01,9.16,1.89,2.4,2.25,4.05,3.97,6.65,4.52,2.55,7.66,1.53,0.97,6.24,2.64,7.2,1.45,3.35,5.4,4.17,2.82,1.58,0.73,2.59,0.72,2.97,4.16,3.71,3.35,6.7,2.63,2.45,3.75,6.84,3.74,5.35,4.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,8.71,4.28,5.85,4.35,4.13,5.22,8.25,8.33,2.2,3.63,4.36,2.23,1.67,8.08,5.2,4.58,4.68,3.11,6.16,7.68,6.41,1.21,8.89,5.02,4.27,6.29,3.09,3.73,6.7,4.18,4.71,3.26,4.22,4.04,7.52,5.33,1.64,1.03,5.41,8.98,1.84,2,5.27,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
