CHELMSFORD-ROXWELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL651100,Long,0.3915,Lat,51.7648,Elevation,180,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,1.66,1.92,1.39,2.92,1.64,0.94,0.68,1.96,0.88,0.4,1.49,2.31,1.65,0.81,1.62,0.75,2.02,2.26,0.65,0.65,1.9,2.16,1.16,3.16,0.85,0.76,0.88,1.3,1.19,2.31,2.33,0.66,2.47,1.1,1.03,2.92,2.68
February,,,,3.01,1.13,2.44,0.15,0.53,1.08,1.92,1.02,0.04,2.18,2.76,1.4,0.14,0.51,2.64,0.94,1.68,3.31,1.09,0.82,0.58,2.7,0.86,2.01,0.86,1.16,0.83,2.24,0.79,1.24,0.53,1.7,2.25,3.56,0.6,0.68,2.51
March,,,,0.91,1.58,1.39,1.13,1.37,2.95,1.21,1.5,1.74,1.03,0.13,0.78,1.33,2.81,3.29,1.07,0.86,0.77,2.46,1.51,1.88,1.61,2.63,1.41,0.94,2.33,3,1.06,1.76,2.61,1.28,3.39,1.14,3.88,1.41,0.87,2.27
April,,,,1.93,0.73,1.41,0.95,1.36,1.93,1.89,1.3,0.42,1.47,0.12,1.31,0.9,0.56,1.58,1.16,2.13,0.75,1.78,0.61,1.77,0.7,1.9,0.79,2.74,2.51,1.62,1.12,0.89,0.08,1.97,0.73,0.56,0.97,1.89,2.63,3.7
May,,,,1.71,0.64,2.62,2.49,1.63,0.75,3.7,2.25,2.1,1.42,1.26,1.83,0.67,0.24,1.27,2.18,1.43,0.77,1.38,2.82,1.64,1.82,0.85,1.42,1.69,1.84,1.25,2.98,1.22,0.68,1.5,1.77,2.07,1.56,2.39,1.61,0.4
June,,,,1.96,0.84,1.38,0.16,0.36,3.32,1.49,2.39,0.7,3.59,0.43,2,0.64,2.78,3.36,1.8,1.7,2.22,1.09,4.2,6.22,0.81,2.58,2,2.25,0.48,3.76,2.06,2.17,2.53,0.76,1.58,0.44,2.19,0.84,0.77,1.11
July,,,,2.43,2.3,1.08,2.26,1.56,4.33,1.87,5.07,3.3,1.5,2.13,3.23,3.06,0.66,0.18,1.1,3.53,0.98,2.06,1.11,4.87,2.06,0.7,1.08,2.07,3.13,3.38,1.88,0.25,1.31,1.81,2.32,3.56,0.82,3.52,4.22,1.86
August,,,,0.63,0.67,1.82,1.15,1.32,3.81,3.07,2.8,2.93,3.58,1.8,2.18,1.98,3.74,1.85,1.1,0.79,3.36,1.59,2.97,4.25,1.47,2.21,0.81,1.67,2.62,2.2,2.4,0.5,4.33,0.62,0.61,1.79,3.99,3.64,1.62,2.24
September,,,,2.48,2.22,3.75,0.85,2.07,0.63,2.39,0.47,0.7,1.97,0.94,1.62,1.1,5.17,2.91,0.3,2.73,0.62,1.46,1.93,2.5,1.34,1.44,1.45,0.6,1.12,2.47,0.86,1.2,2.29,0.76,0.75,1.83,1.01,0.89,3.69,1.24
October,,,,2.27,1.59,3.94,2.31,1.24,1.82,3.78,1.17,4,4.02,2.99,3.27,1.62,2.32,0.63,2.09,1.65,1.63,3.11,2.16,5.46,1.09,1.18,4.43,3.14,1.42,3.91,1.48,2.38,1.73,3.26,1.11,1.4,3.32,3.38,1.24,0.68
November,,,,2.9,1.44,2.96,2.98,3.38,4.13,1.11,1.72,1.72,2.11,2.76,3.17,2.54,0.91,1.05,1.83,3.46,1.78,0.92,1.38,1.88,1.36,1.89,3.89,1.95,0.74,1.01,3.15,2.9,1.53,2.36,2.5,2.52,4.16,1.74,1.98,1.43
December,,,,0.97,2.27,0.94,3.58,1.07,1.12,1.3,0.36,2.97,1.48,1.99,1.99,2.41,3.24,2.23,2.37,1.46,2.14,3.94,1.18,1.57,1.45,0.59,2.28,3.14,1.79,2.91,3.45,3.82,2.26,0.48,5.17,4.09,2.81,0.93,1.91,3.24
Total,,,,22.86,17.33,25.12,20.93,17.53,26.81,24.41,22.01,21.5,24.75,18.8,25.09,18.04,23.75,22.61,16.69,23.44,20.59,21.53,21.34,34.52,18.57,17.99,24.73,21.9,19.9,27.22,23.98,19.07,22.9,17.66,22.29,24.12,29.37,22.26,24.14,23.36
