BUSHEY-HEATH-RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ152941,Long,-0.336872,Lat,51.633923,Elevation,520,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,899/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.25,2.34,2.8,4.55,1.54,1.79,2.07,2,4.98,1.11,0.8,3.04,1.66,0.72,0.86,2.32,3.97,1.6,2.66,2.37,2.25
February,,,,,,,,,,1.68,2.08,0.88,1.22,0.71,1.81,2.94,1.7,1.43,1.18,3.97,4.21,0.65,1.64,2.41,1.74,0.35,3.36,2.71,0.18,2.33
March,,,,,,,,,,2.81,2.81,1.77,0.48,0.17,0.51,1.3,6.4,0.82,1.14,0.93,3.31,2.7,0.6,2.41,1.16,0.99,1.39,1.41,2.22,1.92
April,,,,,,,,,,1.55,1.83,1.3,1.2,1.76,1.09,1.28,1.64,1.24,1.65,1.89,2.46,1.65,2.44,0.32,0.45,1.08,0.32,1.57,2.83,0.75
May,,,,,,,,,,1.85,2,2.97,2.13,0.58,2.93,4.17,1.18,2.58,1.93,1.69,1.89,2.11,1.51,2.05,4.62,0.44,1.29,2.8,0.6,2.53
June,,,,,,,,,,0.64,1.79,0.37,1.76,1.76,1.9,2.51,2.81,2.35,0.56,1.22,1.49,1.26,2.15,3.68,1.88,2.68,1.63,4.51,1.79,1.48
July,,,,,,,,,,2.6,6.69,1.92,1.77,1.51,3.22,2.42,2.12,1.25,1.56,4.83,1,0.66,3.38,2.84,0.22,4.37,3.66,2.75,2.68,4.02
August,,,,,,,,,,0.03,4.91,2.92,1.74,2.87,1.4,4.36,0.16,2.42,1.99,2.54,3.23,5.49,2.16,2.71,1.46,5.57,2.31,3.44,1.88,2.44
September,,,,,,,,,,0.95,0.52,1.05,2.59,3.24,1.84,3.09,1.3,1.89,0.34,3.05,2.96,3.64,2.33,2.04,1.48,2.8,3.01,4.28,0.02,4.46
October,,,,,,,,,,3.3,0.67,3.86,2.94,4.1,3.1,1.36,0.09,2.29,6.2,0.38,1,3.2,2.8,2.55,3.71,2.56,2.05,2.7,2.33,6.31
November,,,,,,,,,,7.49,2.46,1.96,1.33,3.95,0.08,5.29,1.16,2.17,2.53,4.58,5.15,3.33,1.45,4.3,1.84,0.64,2.08,2.59,2.55,4.64
December,,,,,,,,,,1.34,1.76,2.7,1.24,1.49,3.16,2.33,2.76,2.82,1.43,1.44,1.53,2.45,0.6,1.5,2.11,3.63,2.43,3.36,4.13,3.26
Total,,,,,,,,,,26.49,29.86,24.5,22.95,23.68,22.83,33.12,23.32,26.24,21.62,27.32,31.27,28.8,21.78,27.67,22.99,29.08,25.13,34.78,23.58,36.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
