WOLLASTON (WOOD STREET),,,,,,,,,,,,,,,,,,,,
Grid ref,SO890850,Long,-2.16333,Lat,52.462831,Elevation,275,ft,,,,,,,,,,,,
Station no,2419/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.42,1.46,0.54,2.22,2.42,0.96,0.87,2.56,2.82,1.06,2.14,3.15,5.53
February,,,,,,,,1.64,0.67,4.32,2.28,0.53,1.39,2.27,1.6,0.31,2.61,4.64,0.24,1.86
March,,,,,,,,0.96,1.54,1.02,3.91,1.91,1.18,1.93,3.04,0.87,2.09,0.89,2.05,1.34
April,,,,,,,,1.92,1.79,1.97,2.19,1.92,2.59,0.48,1.24,1.33,0.08,0.42,2.76,0.77
May,,,,,,,,1.79,2.28,1.37,3,2.55,1.71,3.07,4.96,0.54,1.76,1.49,0.87,1.2
June,,,,,,,,3.54,0.21,1.61,0.93,1.41,2.12,2.92,2.6,1.51,1.23,3.19,1.06,1.7
July,,,,,,,,1.16,2.24,2.4,1.01,1.18,2.86,3.53,0.37,2.87,4.57,3.76,1.19,3.17
August,,,,,,,1.55,4.31,1.08,3.3,3.82,3.15,2.26,5.03,1.3,3.47,3.16,2.52,1.83,3.72
September,,,,,,,,2.52,1.05,4.42,3.1,1.34,2.85,1.69,1.5,2.81,4.13,3.11,0.01,4.9
October,,,,,,,0.43,2.28,4.55,0.72,1.22,4.11,2.2,3.08,1.66,1.69,1.62,2.04,2.36,5.76
November,,,,,,,1.63,1.47,2.77,4.15,6.18,2.36,1.85,4.83,3.15,0.63,2.17,1.8,3.15,4.21
December,,,,,,,2.22,4.57,1.23,1.72,2.47,2.92,1.31,2.17,2.28,2.97,1.86,2.84,4.25,3.14
Total,,,,,,,,30.58,20.87,27.54,32.33,25.8,23.28,31.87,26.26,21.82,26.34,28.84,22.92,37.3
,,,,,,,,,,,,,,,,,,,,
9974,WOLLASTON: WOOD STREET ,SO8909684963,01/01/1948,31/12/1965,,,,,,,,,,,,,,,,
