BOURNEMOUTH KEMPSEY BATH ROAD,,,,,,,,,,,,
Grid ref,SZ095914,Long,-1.866784,Lat,50.722148,,,,,,,
Station no,RR7951,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.82,1.62,1.06,2.44,,,,,,,,
February,5.49,1.91,1.63,1.95,,,,,,,,
March,1.23,2.77,2.70,3.31,,,,,,,,
April,1.40,2.78,1.51,3.00,,,,,,,,
May,1.50,0.89,2.17,2.73,,,,,,,,
June,2.31,1.43,2.81,2.47,,,,,,,,
July,0.72,3.26,1.77,3.59,,,,,,,,
August,2.77,2.24,4.77,3.65,,,,,,,,
September,1.00,3.66,1.74,2.25,,,,,,,,
October,2.71,3.14,2.16,9.38,,,,,,,,
November,4.24,0.77,3.48,1.70,,,,,,,,
December,5.16,4.49,1.82,2.71,,,,,,,,
Total,32.35,28.96,27.62,39.18,,,,,,,,
Calc annual,32.35,28.96,27.62,39.18,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
