HESLEY-HALL-TICKHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK618956,Long,-1.07083,Lat,53.453542,Elevation,61,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,1.97,3.12,2.21,1.25,0.34,0.46,2.47,2.86,2.9,1.25,3.03,2.3,0.55,1.58,2.39,1.1,0.94,1.54,1.41,3,0.47,2.39,0.47,2.14,2.64,0.98,0.73,1.69,1.68,0.47,2.36,0.61,0.61,0.83,1.69,0.77,3.2,2.99,0.88,1.96,0.72,2.46,1.22,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,2.16,2.07,1.05,2.48,1.9,2.97,1.03,2.29,1.18,2.02,0.56,0.31,1.18,1.51,0.85,0.02,1.95,2.23,2.72,0.14,0.77,2.68,0.59,1.49,3.54,0.91,1.18,0.98,2.92,0.63,2.01,1.11,1.55,0.44,2.36,0.7,1.11,0.62,0.84,2.27,3.36,0.57,1.43,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,2.46,2.38,0.55,0.93,1.57,2.51,1.62,1.16,1.46,1.07,2.49,1.38,2.3,3.47,1.5,1.4,0.73,0.33,0.5,1.5,1.55,2.47,0.95,0.91,0.56,1.41,1.54,2.54,1.64,1.8,0.82,0.96,2.85,2.78,0.58,1.12,2.8,2.3,1.33,1.12,4.77,1.52,0.76,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,1.47,3.48,1.93,2.51,1.94,0.87,2.8,2.23,1.34,1.57,1.74,0.9,1.31,2.43,0.33,1.25,1.09,0.3,2.86,1.66,0.7,1.59,2.33,1.75,0.79,1.17,1.96,1.29,1.07,1.93,0.6,1.76,2.21,1.33,2.04,0.61,0.13,2.07,0.67,0.69,1.29,1.44,1.36,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,0.47,2.23,3.37,2.95,1.75,1.62,1.88,1.59,0.79,1.67,5.56,1.28,0.54,3.71,2.61,3.2,2.43,1.92,1.09,1.15,0.52,1.13,1.7,2.18,1.12,0.74,2.35,2.51,1.74,0.43,1.18,3.16,2.14,1.36,1.94,0.76,3.01,1.59,1.39,1.38,2.16,1.9,2.21,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,2.17,2.6,2.27,3.17,2.66,1.56,4.56,3.28,0.68,2.79,0.85,0.22,2.25,0.4,1.72,2.64,2.78,1.24,2.41,1.95,2.01,3.03,0.69,1.49,1.36,1.26,1.22,1.42,0.34,2.22,1.82,2.62,1.16,2.22,2.13,2.76,4.57,0.85,1.25,0.58,1.26,1.47,0.88,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,2.07,2.97,1.46,3.66,5.76,1.26,2.77,2.79,2.65,0.36,2.57,1.83,5.04,1.71,1.9,2.01,1.78,3.38,3.02,4.08,1.61,0.52,2.45,0.92,1.95,2.33,1.62,2.23,3.6,1.18,0.58,2.21,2.81,3.54,2.79,0.23,3.63,0.57,2.66,4.1,1.17,0.91,3.71,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,1.48,4.33,4.91,4.22,1.88,5.36,1.93,1.01,1.29,1.39,1.7,2.29,1.95,2.76,2.68,3.29,2.12,1.62,1.75,1.42,1.63,2.43,3.55,0.94,4.36,1.55,3.58,3.69,2.91,2.5,1.21,1.96,2.07,2.94,2.87,1.44,4.82,1.16,1.99,2.17,1.61,3.79,1.78,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,3.45,4.28,2.68,1.64,4.59,2.08,1.11,6.55,0.81,1.66,1.07,1.52,1.01,1.24,1.28,0.94,1.4,1.22,0.47,0.78,3.71,1.99,0.51,2.17,1.27,0.87,0.62,3.02,1.16,1.14,0.87,0.42,1.59,1.93,0.19,1.74,1.05,3.92,0.7,0.61,2.07,0.63,4.63,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,3.31,2.94,1.67,2.32,0.96,6.16,2.21,4.88,3.17,0.94,4.55,3.78,1.75,0.54,2.99,0.86,3.46,4.63,1.42,3.18,2.55,3.23,0.99,2.45,2.9,2.8,1.69,2.5,5.22,0.32,1.01,4.37,4.55,0.65,2.08,1.85,1.67,2.44,2.95,2.05,0.96,1.53,2.68,0.97,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
